638761718,国学｜古诗三百千弟诗经楚辞,"国学歌单唱诵目录：

0001～0040：弟子规 （40篇）
0041～0161：唱古诗 （3-6岁）
0162～0251：声律启蒙 （90篇）
0252～0412：诗经 国风 （161篇）
0413～0733：唐诗 （321首）
0734～1028：唐诗 （295首）
1029～1068：唐诗 (40首)
1069～1160：先秦两汉 （102篇）
1161～1196：古诗、节气、成语（各12篇）
1197～1203：三字经、百家姓、千字文、弟子规 全文
1204～1206：论语
1207～1211：楚辞","['儿童', '学习', '古风', '儿童']",[]
368346287,童年——52个经典童话故事伴你入眠,,"['儿童', '华语', '经典', '儿童']","[28692867, 28692879, 28692894, 28692897, 28692891, 28692885, 28692873, 28692887, 28692870, 28692875, 28692911, 28692868, 28692893, 28692877, 28692876, 28692865, 28692882, 28692866]"
706464001,听了能嫁给刘昊然的歌单,"1.这是一个近期爱听音乐歌单
2.刘昊然是我的谁都别跟我抢","['儿童', '儿童']","[1783459, 1335835528, 1900068507, 1888864514, 532905001, 2021379728, 1964443044, 1894999252, 1878581455, 1368133165, 526472181, 518904462, 1347717609, 27570622, 2192010, 1336864159, 1820144402, 1501522928, 1451159597, 1995160, 26126149, 493979, 1889542426, 1940050948, 601521, 1834118075, 1915230093, 1891835283, 1822995790, 1923215640, 74589, 1384671, 26675801, 306880, 1873049720, 1482075624, 1806209383, 474409787, 1843830843, 1498066902, 1812671441, 481537371, 417953208, 1471088126, 1454696224, 1466652032, 1451318762, 1417425535, 1432705726, 506092688, 1450282110, 1456659704, 1453341352, 1439680812, 444267932, 524081381, 1371378363, 1459013506, 1434214664, 1401863689, 1487862857, 1443015350, 1448511372, 1494741623, 1449536597, 28038134, 1493306865, 1380277390, 1390237036, 1479507542, 1418069083, 1348650824, 499793274, 22762854, 1804917273, 1443655850, 1830419924, 442869022, 36492080, 2929182, 1819275125, 326324, 1385646864, 1440352289, 1325897207, 1487202781, 1446709762, 1345705860, 458013861, 1391251170, 1329748266, 29043507, 518904958, 1472097015, 1406475833, 1334689673, 1458372285, 484726928, 1408122638, 1342951475, 524150720, 480426387, 1334034591, 477936796, 30051773, 458231932, 585639, 1427476068, 556306968]"
2893322995,儿童早教歌曲,：）,"['儿童', '儿童']","[19170190, 17405605, 428642135, 1947052604, 2006229677, 2024643756, 2056657863, 1384496555, 2036701536, 454924572, 1927480655, 18353552, 2076626285, 1388960669, 405485942, 1944638221, 2034334831, 1427574416, 1437030961, 1500167452, 1909081616, 2003576548, 1833751894, 1388960666, 1925331622, 2003576547, 1942088840, 2068309400, 547510309, 2061966701, 534445858, 1811251941, 1865664874, 559647898, 1382835194, 1428834843, 1873876994, 1875188274, 1944362271, 421807033, 1806940155, 2005498998, 1806940167, 2010594172, 1995409597, 1806940153, 2011112089, 1806939254, 1897264171, 1908867852, 1965189425, 1930294221, 2048753885, 1496017622, 1444323470, 1806940158, 2057862092, 1334811379, 1958557540, 2072950416, 2061964448, 2061964449, 1997060923, 1921888186, 2038996705, 1467040713, 2054965256, 1369908737, 2011105440, 1437574905, 1865897872, 1956825173, 1468113604, 2052349052, 1874865580, 1407408137, 1301662605, 1991112453, 1356173152, 2015472845, 2207042, 2002857071, 1806939257, 2027042103, 1826099527, 1929256926, 2018551492, 1978107525, 1840631162, 1845805473, 567467594, 1947934857, 1859219033, 1995089745, 1850311064, 1988457333, 1899129642, 1431946612, 1933659329, 1834104417, 1468677655, 1844949868, 1937735663, 1461564181, 1996476772, 1856500610, 1469001160, 1377467851, 2007781836, 1906157771, 1806940165, 1488893343, 1948224715, 1377402222, 1485248318, 1322227243, 1975295694, 1340693038, 1932907154, 1950122422, 1970528609, 1970752895, 1891750925, 1916700564, 1903248130, 1918575362, 1881671897, 1424400870, 1958674674, 1958106515, 1967273681, 1953333106, 1859082512, 1947949506, 1865698995, 1958998132, 1958998291, 1956825180, 1393556171, 1848147473, 1838672123, 1403756319, 1811382425, 1955501364, 1441581262, 1470042890, 1814835049, 1946177395, 1946177454, 1496779213, 1847364896, 1393187641, 1943854168, 1441168391, 1927340695, 1909082618, 1868173672, 1922413318, 1899129643, 1385874690, 1870111640, 1858604071, 1840736349, 28662030, 1425270381, 1443013532, 1393285847, 1449991560, 1478006375, 1918979108, 1389015614, 542871130, 1808465866, 1334811375, 1929090589, 1926887192, 1926917530, 1300287, 1922362038, 1459889157, 1492074263, 1849213720, 1855286222, 1381491073, 1500340108, 1459889156, 1340111206, 1391252896, 1909082622, 1840379249, 1864715133, 466343434, 1908737381, 1495017372, 1334460598, 1401832619, 1401831971, 1844562193, 1500339213, 1903029195, 1833750250, 1426269981, 1475783251, 1413200427, 28177246, 1421423079, 1899473139, 528272344, 1497732932, 500686646, 1501640121, 1806084073, 426026646, 1406475833, 1339699274, 1830023514, 1466180492, 1813439076, 1318808653, 1809938285, 1347300596, 1855286225, 1844663899, 41644768, 1461609754, 1876611316, 1449991556, 1403722962, 1470964359, 1439125289, 1446764935, 1360701021, 1846273697, 1813036755, 1457694432, 1819036133, 1487478840, 515452368, 1486672308, 1840908711, 1337334807, 1393597597, 1492584510, 1371046568, 1426022019, 1449416890, 1890494798, 1824827779, 1462875617, 536623942, 1462875616, 488249475, 17572534, 1884114635, 1876991726, 1812120240, 1499751774, 480097850, 1311535712, 466343453, 1447573437, 423205038, 508917327, 1401418162, 1398523729, 1490950865, 561279085, 1457237838, 1444959593, 1457248123, 1839812377, 574935156, 1805273002, 1378715638, 1812913565, 1861126812, 473440364, 1430595641, 1853988796, 1441183869, 1853776842, 1495018290, 1480871455, 1491536067, 1483967213, 1473854821, 1366570351, 1444322302, 1809667099, 1457592679, 1821623185, 1824977062, 1823029551, 1396005540, 1823305772, 1841174745, 1443013533, 461858711, 1402975512, 1447055617, 1472142718, 476990596, 1421434285, 1304849691, 1814769698, 1460966070, 1347300594, 1408941727, 1426022013, 1463774251, 1423417559, 1426022018, 428642132, 1298432425, 1462875618, 1444959590, 1406633327, 1394994862, 465920154, 1435977644, 1441179616, 1412468947, 1306507802, 1408941731, 1407538641, 501133800, 574926583, 1415345114, 1350121233, 536128512, 1415767465, 1353374397, 1334811366, 1373148283, 1297742167, 479403037, 478920410, 1384492668, 1407524661, 1392343504, 1366433094, 1352451303, 1455101010, 1431767744, 1487685739, 1298432428, 1379023023, 522511677, 475207448, 509276016, 477992214, 456185577, 1353145947, 1449957836, 1473603737, 1364758218, 1378374097, 1419169283, 1439034707, 1388960663, 498320307, 1343425409, 501133805, 1447521944, 1446020184, 1447694347, 1389812429, 866019220, 1408883757, 1327441897, 1357775302, 1438108287, 1451638555, 1442987013, 1445443563, 1448069026, 1446137814, 1310906489, 1331798997, 1458626811, 1319893733, 1444140174, 27145774, 1457730993, 1377462782, 1385303248, 567101163, 1446219771, 22842399, 1329612765, 21268924, 1355070300, 504265014, 518015080, 19892632, 525200228, 1390502731, 21268940, 574648365, 2325781, 1393575498, 1359663981, 1456947748, 26259767, 5103312, 28489004, 1379882113, 1407525383, 1399368351, 424995410, 1318733599, 1444323475, 520461113, 551970086, 1396163569, 518894488, 1296271774, 531051628, 448157854, 28586064, 1331636510, 485612091, 473964560, 493275349, 431357493, 528326686, 1347961878, 1331880361, 545350938, 1407524663, 1407528544, 1345936500, 1325898651, 1396163568, 1405062386, 1432101409, 1407524666, 1361788649, 1404637758, 442867220, 501133801, 545350934, 432848329, 1374402652, 491757685, 1350485275, 1357425794, 441489378, 1317410283, 865021328, 1371773814, 558261050, 1380100793, 1403793096, 1308782023, 1388615401, 1407524668, 1422264194, 1437204419, 1380104337, 1368380852, 1428211824, 1384482575, 534540190, 1410815174, 534064047, 1350095193, 1316563834, 519943190, 1403699842, 1407911929, 442869472, 1304301069, 1407895557, 536622918, 1347147587, 1375408668, 1350224869, 554200158, 445702209, 489037214, 1371516088, 439122281, 1306507078, 1294889058, 1396162007, 1293904024, 1320100227, 26749588, 1416378346, 1320101227, 1308778228, 5041591, 1313661954, 28208046, 506224180, 5041604, 440403590, 501220080, 28586061, 41662978, 460043667, 1407525373, 469104548, 35807063, 1327566544, 574926602, 531777461, 441489207, 1293953338, 29378196, 549309101, 28737747, 1296833312, 1381290206, 1333335583, 1351219081, 1371427950, 1313558421, 1325896191, 1325449674, 1314156489, 520458166, 430297325, 525238797, 453012834, 444269202, 451703096, 1347297663, 25713016, 21253900, 418550479, 1322982989, 461347998, 534542159, 425008183, 498577487, 483156032, 417911175, 409647889, 1301823635, 457761714, 421807947, 435289756, 461811935, 34324640, 501133798, 29422008, 547825386, 427595762, 550616768, 34228719, 475070014, 518895000, 441772779, 33367534, 420154790, 41631811, 447079586, 1321760184, 518894368, 33544627, 1325711428, 522354281, 34578219, 464377384, 493735175, 863489766, 500808646, 449577802, 1315698167, 1309901535]"
7297220194,Enjoy Max,耳机是生活的避难所，说唱是心脏的救心丸,"['儿童', '安静', '学习', '儿童']","[2100624065, 2093236174, 420386024, 2091964232, 1463346953, 540596309, 2067209961, 486232269, 1384440292, 466343440, 466343446, 2044734734, 1995409596, 1995409595, 434294793, 1995409588, 533392780, 456175182, 1308737094, 1470964359, 18614254, 426194883, 1424400870, 472045246, 1394994862, 1422652903, 1956743787, 411349769, 406316019, 29775430, 428642135, 1370462487, 1909926053, 1371924626, 561279085, 1475465, 442869474, 439076170, 34828314, 574926583, 462523342, 1496855007, 427595614, 460043667, 1839418993, 1406633327, 30621582, 441491167, 1875234103, 1475473, 35723924, 454698271, 1354430301, 1824933351, 1329908929, 442869471, 526116053, 16158605, 1348280854, 1298432425, 18613866, 402070458, 26548584, 422790145, 33599620, 531777461, 1437204419, 28177246, 1293953338, 1444959590, 574926602, 466343434, 436487740, 29775436, 442869469, 1384508340, 479029252, 568413102, 411349773, 1960670713, 2040604108, 2085709355, 27646198, 1982706733, 571340283, 29764560, 2085763208, 2074440239, 467952048, 207497, 1499560899, 1977467088, 2013290415, 2043112316, 2075605491, 1861599180, 2004847101, 2006229677, 1984762435, 2024557102, 1467880620, 1920525242, 2051646694, 1899399617, 1973126305, 1933574557, 2046096661, 2074450455, 1309728506, 1988024508, 1346040310, 2026222389, 464154833, 2065539383, 2070347743, 2065926820, 2015320482, 2015387248, 2057539568, 418603177, 552448704, 1353428264, 465721397, 2032192601, 2029930682, 2029930663, 2026224214, 1496237784, 2024654768, 2023954033, 2009233274, 2013291284, 1860882643, 504646546, 2006229679, 2002753297, 1995339512, 1907532640, 499793088, 1929049876, 1970396862, 1965928052, 1492864083]"
3035383193,没想到在偶然间我也长大了,我是一个00后一直觉得自己年龄挺小的，但是听到这些动画片的主题曲的时候，想到了自己小时候看这些动画片的欢乐时光，又看到现在孩子都是在看小马宝莉、小猪佩奇、汪汪队，没想到啊，在偶然间我也有了童年,"['儿童', '欧美', '00后', '儿童']","[427417000, 27896340, 33190753, 30431278, 33510761, 33111734, 28953001, 29357176, 33190754, 33187450, 5242612, 27901231, 29593117, 29418974, 34324641, 28029828, 394990, 394987, 27904124, 27946216, 412187222, 1386887122, 17422864, 19207074, 199766, 17422851, 29593103, 28152182, 5263407, 29819850, 25962464, 27901933, 90907, 29822085, 5263408, 28768484, 27571930, 28471464, 5166475, 29848624, 1450938870, 4025325, 17422860, 28031119, 28031114, 4025272, 2925124, 1365471710, 2866921, 371362, 17630567, 571545720, 27901832, 255184, 5263409]"
6662022122,儿童幼儿Ⅱ声律启蒙,宝宝巴士（BabyBus）是专注打造儿童启蒙数字产品的原创品牌，累计服务全球5亿家庭用户。宝宝巴士秉承“快乐启蒙”的理念，用奇妙有趣的方式为儿童提供免费的数字内容，量身定制“好听”（国学故事）、“好看”（儿歌动画）、“好玩”（互动APP）等系列内容产品，让孩子在趣味中认知世界，感受“真、善、美”。,"['经典', '儿童', '华语', '儿童']","[1325898389, 1325896416, 1325897429, 1325898390, 1325897430, 1325898391, 1325897431, 1325896418, 1325711464, 1325896419, 1325897432, 1325898392, 1325896420, 1325711465, 1325711466, 1325897433, 1325898394, 1325898395, 1325898397, 1325896421, 1325897451, 1325896436, 1325711480, 1325711481, 1325711482, 1325896437, 1325897453, 1325898413, 1325896438, 1325711483, 1325897454, 1325896439, 1325896440, 1325896441, 1325897456, 1325898414, 1325898415, 1325898416, 1325897457, 1325711485, 1325711486, 1325898417, 1325711487, 1325896442, 1325711488, 1325711489, 1325896443, 1325896447, 1325898419, 1325897459, 1325896448, 1325711490, 1325711497, 1325896455, 1325897465, 1325896456, 1325711498, 1325898422, 1325898423, 1325897466, 1325898424, 1325896457, 1325896458, 1325711499, 1325896459, 1325898425, 1325896460, 1325896461, 1325896462, 1325898427, 1325711500, 1325896463, 1325711501, 1325897468, 1325897469, 1325898428, 1325898429, 1325898430, 1325897470, 1325897471, 1325711502, 1325897472, 1325898433, 1325896464, 1325711503, 1325897474, 1325896465, 1325896467, 1325711504, 1325897475]"
4916968262,苏格拉底的吻,井底之蛙终归大海吗,"['后摇', '儿童', '儿童']","[1389394944, 22673504, 2058139099, 1978173961, 17470701, 1936551517, 1903876057, 1488796175, 1967493421, 1925791508, 2085441505, 2079296600, 1935950259, 1492864083, 1959607235, 1910994242, 1898113522, 1948643297, 482056804, 446512853, 2052348113, 1495985115, 1490611167, 2085709355, 2080177728, 2005492354, 1369601580, 209397, 1991801101, 1450128299, 420386024, 410629770, 1418055805, 461544117, 1819970423, 1295009639, 1400259397, 2063864551, 1356953795, 1930107573, 1318733599, 1930182691, 1395222212, 2083887281, 1993119056, 1463165960, 1486763122, 1903867223, 412327309, 409647388, 22673551, 186046, 186093, 186005, 185699, 185667, 1899399617, 185668, 25641369, 186019, 1962165963, 1962166152, 185821, 186021, 25641372, 185906, 185912, 186010, 185982, 1495058484, 1933637996, 479979029, 1398283847, 2066654616, 185676, 150633, 2021114911, 2021379728, 518682659, 1406083061, 2056725340, 418602087, 26226510, 1962166947, 445154140, 185701, 1988564487, 21974794, 1457248123, 5243363, 2052441038, 36307815, 1952112969, 16375205, 469998923, 551335053, 186047, 1895330088, 529668356, 1355292203, 1919226883, 436346833, 185694, 442867526, 1962166937, 26569168, 1306497271, 2041974276, 1430303185, 548823873, 1805842261, 526116053, 431610014, 1919931652, 1986771025, 1947780316, 1831803136, 1979417838, 41462017, 2003336381, 208902, 1954223039, 108406, 1410647903, 1807799505, 1426233208, 1432491214, 1869248652, 1307591526, 208958, 1923184888, 462769331, 1403318151, 1957494309, 1956525809, 1927693793, 1958755090, 26305550, 1959394537, 1947107407, 1396023850, 1829061727, 485508366, 1435828582, 1479003964, 1414783972, 167876, 1927402478, 108263, 1936399142, 1383954630, 490595927, 1486631924, 1924568060, 29774171, 465920905, 1876226709, 1470657694, 26305540, 29542751, 1361832292, 1805317558, 1874158536, 1909021556, 525278976, 1816964380, 1924314361, 26524701, 525086802, 1333336513, 488249475, 1449416890, 864498975, 440208643, 1844449888, 1336856864, 1334270729, 475479888, 1441758494, 1385856956, 1413585838, 1481164987, 514761281, 1429392677, 1296833312, 1306507078, 2078846668, 550138197, 1487528112, 1363205817, 1890733342, 1365393542, 1397345903, 460578140, 1299818, 1887917182, 496370620, 2019573476, 1924578028, 185697, 1489366404, 539014550, 1329938686, 1361384409, 418603077, 1806953690, 186016, 1918576268]"
11084819,宝宝成语故事会,适合孩子听的成语故事,"['儿童', '儿童']","[252171, 252157, 252090, 252075, 252160, 252162, 252161, 252151, 252069, 252084, 252137, 252136, 502226533, 252140, 252127, 252133, 252123, 252119, 252105, 252108, 252099, 252096, 252081, 252078, 252068, 252064, 252058, 252053, 252051, 4875483]"
5322300094,小螺号滴滴的吹……儿歌听了喜滋滋,如果感觉人生有了一丝丝的疲惫，听听以前的小欢乐~与世界和解~,"['华语', '怀旧', '儿童', '儿童']","[5388831, 566443169, 1805052313, 1411553793, 1471602211, 1480090161, 29593103, 31273716, 492726, 492712, 566436180, 4873340, 1805289566, 27901832, 27946216, 34324641, 394987, 1433315906, 29822059, 29848624]"
8790768003,KenRobb is crazy,很可爱想养一只,"['说唱', '儿童', '校园', '儿童']","[2088778675, 2072877890, 2070313881, 2020650133, 2020651040, 2010032281, 1981082284, 1973103529, 1955501364, 1953915008, 1950122422, 1917607248, 1916700564, 1906281210, 1896063814, 1865897872, 1849276971, 1839893750]"
4967758,童星闪闪，世界暖暖,"本精选收录了全球比较出名的几位萝莉正太或者萝莉团正太团，稚嫩可爱的童声很有爱，让我们一起感受吧，抠啦 
","['清新', '快乐', '儿童', '儿童']","[26296011, 1776816, 18529999, 2866921, 354713, 5197746, 3435459, 1772149, 16404265, 16404259, 2308729, 174317, 4415575, 76140, 1089307, 2866931, 16494073, 16494066, 2308737, 22481454, 16652335, 16956751, 2309104, 135147, 16295553, 16295549, 5093519, 3324854, 5208438, 17996972, 1697463, 3435481, 1427344, 394999]"
26164658,飞哥与小佛-原声歌曲集,,"['欧美', '校园', '儿童', '儿童']","[29418509, 28150046, 28150047, 28150048, 28150049, 28150050, 28150051, 28150052, 28150053, 28150054, 28150055, 28150056, 28150057, 28150058, 28150059, 28150060, 28150061, 28150062, 28150063, 28150064, 28150065, 28150066, 28150067, 28150068, 28150069, 28150070, 27077574, 27077575, 27077576, 27077577, 27077578, 27077579, 27077580, 27077581, 27077582, 27077583, 27077584, 27077585, 27077586, 27077587, 27077588, 27077589, 27077590, 27077591, 27077592, 27077593, 27077594, 27077595, 5041404, 5041405, 5041406, 5041407, 5041408, 5041409, 5041410, 5041411, 5041412, 5041413, 5041414, 5041415, 5041416, 5041417, 5041418, 5041419, 5041420, 5041421, 5041422, 5041423, 5041424, 5041425, 5041426, 5041427, 5041428, 5041429]"
8780753958,Like This,Ssssss^_^,"['儿童', '儿童']","[1309915266, 2058139099, 2018551492, 27759109, 1933776482, 2052348233, 2002676135, 421807947, 456175182, 1471939378, 1884951572, 1403203473, 1831695271, 1975544987, 1480871455, 29572591, 1465310440, 1922779061, 433223226, 1932648727, 544009403, 1472354764, 1370462487, 28918321, 1320100120, 1311809814, 1355147933, 17239692, 1930205367, 1850168040, 1877996649, 33111753, 33469355, 33678726, 1386302791, 404783376, 28858362, 1494985963, 447281871, 31838675, 18004021, 1381706037, 26658058, 441489089, 1343492095, 1493852177, 34144930, 1324131700, 1854073502, 1394953982, 550169452, 1381738482, 1317251063, 480516142, 30569115, 1384496555, 1989359, 1422523944, 1332561711, 2526628, 1419416408, 546619498, 32958419, 463159103, 22404508, 1386302793, 1804361732, 29414465, 1989392, 458239005, 1456602326, 473870351, 456185330, 865898531, 1394954787, 530142337, 1357775302, 1447521944, 1321382251, 1334774201, 1320800383, 1463774251, 18614258, 22333133]"
4962872771,说唱不过是在跟鼓点接吻,,"['儿童', '70后', '儿童']","[2052879955, 2103073451, 2103073446, 2103072492, 2103073433, 2069027831, 2101875091, 2102983305, 2100227369, 2016223213, 2083441698, 2102675177, 2102013695, 2099598472, 2098171936, 2098169016, 2096912377, 2016309070, 2095284613, 2094863607, 2087807473, 2093526260, 1994422591, 2093933278, 2072547328, 2092206170, 2090936291, 2090391458, 2090624515, 1914595281, 1901880991, 1897127258, 2085716861, 2086362513, 2082249170, 1818279475, 2074382708, 2080559776, 1948985201, 1849386077, 2079912444, 2078198086, 2077499028, 2076469536, 2026354461, 2045590206, 1484809063, 1910803170, 1293968661, 2072790642, 1373826934, 1891146284, 1496562874, 2019922512, 2071854110, 1814315752, 2071276835, 1966043265, 2046575142, 1848290195, 2026733476, 1972888394, 2051382783, 2066390113, 1393825814, 27216044, 2060061088, 2058567575, 2058166383, 2056803136, 2057202530, 2055889040, 2057223368, 2034110495, 2049786091, 2049786138, 1961365426, 1479058839, 1889746271, 2001353546, 2049548909, 2049548905, 2048812861, 2045101730, 1928704734, 1820653433, 2038600444, 27162963, 2047036460, 2043980561, 2043980374, 2043976591, 2043461694, 2043179333, 1974327440, 2039505165, 2035744645, 19153322, 2020820486, 2034585343, 2033864638, 2034827013, 2032012249, 2031664875, 2031740611, 2030737191, 2028733616, 2026925205, 2024606546, 2022169461, 2022512439, 2022425839, 2021892562, 2021542448, 2019870159, 21268785, 472990177, 1416922742, 1373444265, 2019584166, 504264247, 501216126, 1344998, 1297742167, 1294603931, 2019562049, 1367812466, 1966530727, 2019302177, 2017410996, 2017411674, 2017201036, 2016928406, 2016962783, 2016759193, 2015453540, 1960229419, 1965101859, 2015077843, 1999763776, 1994958704, 2013079812, 572514224, 1958817737, 1865150359, 1987922188, 2012118899, 1997176351, 2011901550, 1961108967, 2011472591, 2010574856, 2009983373, 1978944374, 2008727425, 1992450461, 491225619, 2009075183, 1427957070, 1967956904, 1969782228, 1995290093, 1494741711, 1428479010, 2007294592, 2007305766, 2006511089, 2006203402, 1965090000, 1376891577, 2004237015, 2003964092, 1925094945, 2002489257, 2001601596, 1830720223, 1923571159, 1999032039, 1364668935, 1491640008, 1987768541, 473940998, 1998096752, 1997267030, 1955246283, 1959917891, 1995833369, 1995845326, 1894874479, 1831211696, 1456653111, 1857413603, 1993748702, 1465869462, 1993676191, 1828188033, 1983755757, 1964562195, 1961044308, 1950943456, 1948857929, 1989997133, 1991006573, 1927890801, 1988027479, 1816070998, 1986069192, 1986069194, 1985876348, 1851001610, 1363044643, 1807548865, 1982445887, 1980397845, 1980000670, 1979344226, 1978636136, 1978466333, 1924018044, 1484055988, 1860207200, 1817654147, 1974200962, 1973433290, 1926073893, 1944684417, 1416566350, 1960266952, 1927231979, 1952580602, 1970778125, 1942468536, 1970391631, 1970302013, 1970309888, 1970187271, 1969618347, 1969801455, 1969363042, 1967827143, 1868920285, 1887679516, 1963646355, 1963168051, 1841174454, 1910075449, 1962619857, 1962026352, 1470388630, 1816294535, 1835838657, 1869665367, 1388904560, 1961055925, 1441250584, 1960150641, 1959694871, 1959542774, 1959180100, 1959160278, 1958738612, 1958735747, 1916647471, 1955203659, 1955200801, 1955200651, 1955197493, 1955203885, 1955482098, 1941405390, 1914364074, 1954493006, 1954356828, 1953575500, 1847899292, 1953116086, 1953070149, 1952813341, 1939201799, 1930873676, 1829324017, 1890756154, 1947085919, 1928816736, 1907888281, 1475989018, 1860784339, 1915377977, 1440405641, 1841612613, 1295762120, 1945498774, 1945304083, 1945307809, 1945355511, 1944359463, 1944102952, 1491737977, 1942781210, 1474776161, 1940618689, 1941225997, 1940289343, 1860528237, 1933920599, 1939724518, 1939754270, 1939729703, 1910953966, 1938830919, 1938960032, 1938791399, 1938597964, 1938083045, 1838566931, 1491572637, 1833248776, 1463935722, 1477096627, 1883738224, 1363827489, 1935334327, 1865302595, 1935347928, 1934956206, 1934043868, 1932845314, 1932251175, 1872566864, 1831001673, 1885117138, 1910565262, 1929463449, 1923154148, 1928162026, 1927723165, 1468857554, 1927458993, 1926589339, 1926263523, 1925546878, 1923571372, 1923466291, 1923505762, 1871950902, 1297903632, 1921398099, 1920786290, 1920190500, 1852433519, 1917489386, 1918269437, 1908777706, 1836089453, 1916481321, 1916477557, 1916481170, 1904518637, 1808381994, 1915527125, 1915378049, 1915379027, 1915378048, 1915379012, 1915378018, 540384911, 1879501129, 1843111505, 1912944566, 1838581153, 1912632058, 1905963127, 1888924078, 1879069058, 1910797506, 1890340749, 1909873158, 1909908306, 1813812038, 1903409985, 1869745024, 1906294631, 1881497164, 1908199414, 1908200166, 1908199401, 1908200190, 1909792627, 1908287202, 1908318253, 1897877895, 1905813771, 1905811450, 1905813721, 1905811362, 1871248077, 1899402507, 1904192563, 1904219628, 1903050117, 1902954640, 1877671889, 1902048435, 1902256533, 1410878603, 1824478420, 1901536863, 1842503451, 1900933944, 1900303065, 1899510486, 1899159275, 1898847122, 1898195573, 1897945580, 1895926694, 1896804180, 1869444484, 1883087606, 1895926785, 1895629408, 1894370609, 1893547601, 1893844547, 1893176975, 1893127743, 1379325415, 1892613214, 1892415079, 1891826168, 1891494113, 1889564608, 1888906158, 1889009731, 1888709715, 1826030287, 1885602493, 1885740717, 1885602293, 1885174176, 1884911934, 1875955182, 1883502496, 1883054233, 1881551075, 1412704641, 1843995196, 1440263355, 1880828231, 1879010048, 1879056318, 1879098403, 1877731433, 1828102640, 1877157411, 1876862364, 1875508895, 1875285014, 1874356878, 1873586997, 1862724718, 1873107050, 1872428036, 1872422332, 1872194982, 1871153213, 1870843103, 1870500145, 1463548895, 1448944051, 1411798513, 1858713052, 1869303645, 1867734653, 1853081491, 1867471293, 1867149787, 1866953342, 1836825941, 1860142599, 1858251769, 1865883764, 1864693251, 1864103558, 1863525907, 1859690614, 1857455999, 1857089130, 1857681585, 1856859357, 1856598560, 1855028456, 1838826473, 1854774167, 1339649682, 1486574892, 1837903773, 1852433604, 1852390451, 1848910426, 1848382915, 1848252036, 1848856497, 1848205627, 1847028608, 1462637396, 1883441017, 1496812551, 1846879839, 1845759005, 1846636390, 1462519685, 1837010106, 1841664466, 1840751209, 1341583364, 1839222755, 1817978314, 1835587353, 1836470112, 1834872011, 1834599181, 1833922770, 1500163616, 1833659605, 1833261154, 1832410823, 1831126398, 1825893973, 1823631853, 1826116192, 1823884124, 1376425143, 1808120144, 1827242656, 1826245924, 1823889163, 1820282261, 1820283892, 1809070897, 1809764242, 1820196872, 1818868805, 1817723154, 1818314432, 499673122, 1497618481, 1816587940, 1816529243, 1374387109, 1499604469, 1813490127, 1812525089, 1810914288, 1809849064, 1463941362, 1807127406, 1806297844, 1805878468, 1808007401, 1808570214, 1804858931, 1457154397, 1804215057, 1803983315, 1496855354, 1490169915, 1803637733, 1501304385, 1487286116, 1494535494, 1498675283, 1411054015, 1413274208, 1452397528, 1488279735, 1481715401, 1490932321, 1340323048, 1491746801, 1493688593, 1317471027, 1463853298, 1491744506, 1491841013, 1491737955, 1492079795, 1433178165, 1450960119, 1476756801, 1476723578, 1460747233, 1487333919, 1439269721, 1457728582, 1476185328, 1473465771, 1418969047, 544065928, 500852674, 1470336170, 1422046809, 1361762579, 1445118134, 1442267504, 1455787083, 1461165633, 1449023767, 1423546501, 1451294376, 1463425652, 1458696967, 1448860430, 1457566380, 1409981061, 1414656966, 1429214440, 1442545861, 1428243741, 1420732524, 1447138006, 1441975070, 1380479981, 1433397608, 1374889832, 1362694606, 1391189982, 1438604019, 1450336340, 1359205227, 1382474953, 1395904022, 1440742542, 1380277427, 1352010373, 1424433346, 1442021302, 1443886590, 1445752832, 1411554021, 1444193992, 1425586701, 1442178862, 1444369164, 1446383109, 1438787444, 1413477526, 1410661113, 1440222748, 1443094418, 1403818720, 1396302095, 1399765822, 1313519916, 1417638020, 1326203232, 1293998926, 1417419014, 1329272123, 1336575492, 1365209481, 865760601, 1326552091, 1415912097, 1358380016, 1423924491, 1392705090, 1326538858, 1326201303, 1418572871, 1406212570, 1374426734, 1324765142, 1330806110, 1329273051]"
2284296077,小兔子乖乖拔萝卜,但愿你的童年有吃不完的糖( °◅° ),"['儿童', '快乐', '治愈', '儿童']","[1805289566, 29593103, 34324641, 31654481, 5270590, 521065352, 1368934278, 535233047, 1353373466, 467390078, 1365471710, 29822196, 400876145, 864489526, 5230559, 28031119, 466794740, 864489523, 394990, 29498161, 516715095, 400876162, 400875143, 28196021, 27853752, 35270898, 33544955, 27090920, 36492807, 360569, 352960, 572107325, 2866929, 102591, 20330673, 535230428, 5240782, 28708017, 29450567, 28707960, 371362, 518088881, 25727282, 29738289, 27571483, 28700219, 454261590]"
