歌名,歌手,曲风,推荐标签,语种,BPM,乐评
片翼の鳥,志方あきこ、,原声带、二次元-动漫主题曲、,热血、动感、,日语,109,
逆さまの蝶,SNoW、,二次元-动漫主题曲、,动感、快乐、活力、放松、治愈、,日语,90,
My Dearest,supercell、,二次元-动漫主题曲、,热血、抒情、动感、悲伤、快乐、放松、,日语,84,
僕らのあしあと,supercell、,原声带、二次元-动漫主题曲、,热血、动感、快乐、放松、治愈、,日语,69,
MEMORIA,藍井エイル、,二次元-动漫歌曲、流行-日本流行、,热血、抒情、动感、放松、治愈、大气、,日语,127,
misterioso,Kalafina、,原声带、流行-日本流行、,热血、抒情、动感、,日语,79,
名前のない怪物,EGOIST、,原声带、二次元-动漫主题曲、,热血、动感、活力、激烈、,日语,89,
満天,Kalafina、,二次元-动漫歌曲、流行、,热血、抒情、动感、KTV、,日语,95,
LEVEL5-judgelight-,fripSide、,二次元-动漫原声带、,热血、动感、可爱、快乐、活力、,日语、英语,139,
late in autumn,fripSide、,二次元-动漫主题曲、,甜蜜、热血、抒情、动感、可爱、快乐、爱情、浪漫、憧憬、,日语,130,
恋はみるくてぃ,petit milady、,二次元-动漫主题曲、,可爱、快乐、,日语,122,
泪のムコウ,ステレオポニー、,二次元-动漫主题曲、流行-日本流行、,热血、动感、可爱、快乐、,日语,137,
涙の種、笑顔の花,中川翔子、,二次元、流行-日本流行、,热血、动感、可爱、快乐、,日语,123,
空は高く風は歌う,春奈るな、,二次元、,热血、抒情、动感、放松、治愈、,日语,95,
君の神話～アクエリオン第二章,AKINO with bless4、,原声带、二次元-动漫歌曲、流行、,可爱、快乐、放松、,国语,167,
INNOCENCE,藍井エイル、,二次元-动漫主题曲、流行-日本流行、,热血、动感、,日语,91,
IGNITE,藍井エイル、,原声带、二次元-动漫主题曲、,热血、清新、动感、快乐、放松、,日语,85,
ideal white,綾野ましろ、,二次元-动漫主题曲、,热血、动感、,日语,180,
回レ! 雪月花,原田ひとみ、茅野愛衣、小倉唯、,二次元-动漫主题曲、,热血、抒情、动感、可爱、快乐、思念、活力、,日语,160,
紅蓮の弓矢,Linked Horizon、,原声带、二次元-动漫主题曲、,热血、动感、极限运动、,日语,90,
fairytale,Kalafina、,二次元-动漫主题曲、流行-日本流行、,抒情、,日语,84,
緋色の空,川田まみ、,二次元-动漫主题曲、,热血、清新、动感、放松、,日语,169,
Enigmatic Feeling,凛として時雨、,二次元-动漫主题曲、,热血、动感、,日语,141,
Dear My Friend -まだ見ぬ未来へ-,ELISA、,流行-日本流行、,动感、可爱、快乐、,日语,128,
disillusion-2010-,タイナカ彩智、,原声带、,热血、动感、,日语,84,
crossing field,LiSA、,原声带、二次元-动漫歌曲、,热血、抒情、动感、可爱、快乐、活力、激烈、感人、,日语,89,
code,タイナカ彩智、,流行、,热血、动感、,日语,,
courage,戸松遥、,二次元-动漫主题曲、流行-日本流行、,热血、动感、,日语,98,
Beautiful World,宇多田ヒカル、,二次元-动漫原声带、流行-日本流行、,抒情、动感、放松、治愈、,日语,115,
緋を想う天,Saga Novel、,电子、,放松、冥想、,纯音乐,84,
Secret Melody,Amateras Records、,二次元-同人作品、,动感、活力、放松、,纯音乐,,
画期的なてゐ,cYsmix、,二次元-東方Project、,活力、动感、放松、,纯音乐,,
この青空と流れる雲に,Foxtail-Grass Studio、,二次元-東方Project、,动感、活力、,纯音乐,61,
幻想テレグノシス,はちみつれもん、,二次元-同人作品、,梦幻、可爱、快乐、放松、,纯音乐,,
Merryland,BOYZ PARTY、,二次元-東方Project、,可爱、快乐、动感、,纯音乐,,
盤上で踊れ,スピークロウ、,轻音乐、,可爱、快乐、放松、,纯音乐,,
Urahara ff,EastNewSound、,二次元-東方Project、,动感、活力、,纯音乐,139,
Sizzle [Future Bass],Eris、,二次元-同人作品、,动感、快乐、活力、轻快、,纯音乐,,
Wings of my life (Instrumental),DiGiTAL WiNG、,二次元-東方Project、,,纯音乐,,
「御射山御狩神事」,AUKB.、,,,,,
「夢想封印」,AUKB.、,,,,,
night（original mix）,NANO-FXXKYIG、,流行、,,,,
Q,魂音泉、,二次元-東方Project、,悲伤、,纯音乐,90,
-紅楼-,狐の工作室、,二次元-同人作品、,热血、动感、梦幻、放松、,纯音乐,,
にとりたび,魂音泉、,二次元-東方Project、,动感、快乐、活力、,纯音乐,129,
"New days, New winds",アベニュールーム、,二次元-東方Project、,,纯音乐,,
Endless Feast,MiyakTik、,轻音乐、,轻快、快乐、,,,
Lycoris isolation,EastNewSound、,二次元-東方Project、,动感、可爱、快乐、活力、,纯音乐,147,
Vampirish Nightscape,Chahanex、atabo、,二次元-東方Project、,动感、活力、清新、快乐、放松、,日语,146,
drawing newstory,群雨アンブレイラ、,二次元-東方Project、,,纯音乐,,
LOG,FELT、,二次元-同人作品、,悲伤、平静、梦幻、抑郁、放松、,纯音乐,80,
東方美人,街角麻婆豆、,二次元-東方Project、,可爱、快乐、放松、,纯音乐,134,
いつまでもどこまでも,かいりきベア、,二次元-東方Project、,轻快、快乐、,日语,,
Innocent Treasures (Tsukishiro Hikari Remix),月代彩、,电子、,平静、梦幻、放松、治愈、,纯音乐,85,
re,Pearls Before Swine、,二次元、,热血、动感、冥想、,纯音乐,76,
まほろば,流派未月亭、,二次元-東方Project、,平静、可爱、快乐、放松、,纯音乐,80,
Memories:Overflow,発熱巫女~ず、,二次元-同人作品、,动感、可爱、快乐、,纯音乐,120,
Real of Fake (inst),Kaztora、,二次元-同人作品、二次元-动漫歌曲、,动感、可爱、快乐、,纯音乐,,
幽霊客船の時空を越えた旅,彩音 ~xi-on~、,二次元-同人作品、,动感、活力、,纯音乐,,
N.I.G.H.T.M.A.R.E. -Off Vocal-,Applice、,二次元-同人作品、,抒情、,,,
幻灯花,魂音泉、,二次元-東方Project、,放松、,纯音乐,102,
初雪,clocknote.、,轻音乐、,冥想、放松、,纯音乐,125,
AM7:15,Eris、,二次元-同人作品、电子、,动感、活力、,纯音乐,145,
ZEIT DES MONDLICHTS (Instrumental Version),Babbe Music、,二次元-同人作品、,热血、动感、活力、,纯音乐,128,
幽梦 ~ Inanimate Dream-戦国Arr.- (幽梦/东方幻想郷より),Coolier、,二次元、,热血、动感、放松、治愈、,纯音乐,,
514,Maritumix、,电子、,快乐、可爱、动感、,纯音乐,67,
One stroke sketch,tigerlily、,二次元、电子、,放松、,纯音乐,60,
Flying in Wonderland(真夏の妖精の夢/蠢々秋月 ～ Mooned Insect),MiyakTik、,,学习、平静、放松、可爱、快乐、,纯音乐,,
Cold Sleep,プレミアムプレミ屋、,二次元-東方Project、,动感、可爱、快乐、,纯音乐,,
Move forward,四面楚歌、,二次元-東方Project、,平静、梦幻、快乐、放松、轻快、,纯音乐,89,
Bordeaux,flap+frog、,二次元-同人作品、,清新、可爱、快乐、放松、治愈、,纯音乐,,
