歌名,歌手,曲风,推荐标签,语种,BPM,乐评
迷宫,step.jad依加、,节奏布鲁斯-当代节奏布鲁斯、流行-华语流行、,抒情、悲伤、KTV、,国语,125,
最后一页,江语晨、,流行-华语流行、,抒情、,国语,69,
为你写的歌,方大同、,节奏布鲁斯-当代节奏布鲁斯、流行、,抒情、KTV、,华语,63,
你,郑润泽、,流行-华语流行、,抒情、紧张、悲伤、平静、抑郁、快乐、爱情、思念、浪漫、苦情、放松、憧憬、治愈、孤独、酒吧、遗憾、感人、,国语,65,
如果爱忘了,戚薇、,原声带-电视剧原声、流行-华语流行、,抒情、,国语,73,
就让这大雨全都落下,容祖儿、,流行-华语流行、,抒情、悲伤、遗憾、,国语,68,
谁 (Live版),廖俊涛、,流行-华语流行、,抒情、悲伤、抑郁、爱情、思念、浪漫、苦情、孤独、酒吧、洒脱、大气、遗憾、感人、,国语,,
我记得,赵雷、,民谣-流行民谣、,抒情、动感、幸福、紧张、悲伤、平静、梦幻、抑郁、快乐、爱情、思念、慵懒、浪漫、苦情、放松、憧憬、治愈、孤独、正直、洒脱、正能量、亲情、友情、遗憾、感人、,国语,70,
步步,五月天、,原声带-电视剧原声、流行、,抒情、动感、悲伤、抑郁、快乐、爱情、思念、浪漫、苦情、活力、放松、憧憬、治愈、孤独、洒脱、遗憾、感人、,国语,70,
三人游,方大同、,节奏布鲁斯-当代节奏布鲁斯、,抒情、,国语,63,
忏悔录,KKECHO、那奇沃夫、REDBOI、,嘻哈说唱-旋律说唱、,抒情、动感、悲伤、爱情、思念、苦情、遗憾、感人、,国语、英语,65,
你想要的,颜人中、,流行-华语流行、,抒情、动感、悲伤、平静、抑郁、快乐、爱情、思念、慵懒、浪漫、苦情、放松、治愈、孤独、轻快、洒脱、遗憾、暴走、家务、通勤、,国语,58,
我知道,By2、,流行-华语流行、,抒情、,国语,115,
匿名的好友,杨丞琳、,原声带-电视剧原声、流行-华语流行、,抒情、,国语,119,
怎么了,周兴哲、,流行-华语流行、,抒情、悲伤、,国语,69,
在你的身边,盛哲、,节奏布鲁斯、流行-华语流行、蓝调、,抒情、悲伤、爱情、思念、放松、憧憬、治愈、感人、,国语,81,
夏夜最后的烟火,颜人中、,流行-华语流行、,甜蜜、抒情、幸福、悲伤、平静、快乐、爱情、思念、慵懒、浪漫、苦情、放松、憧憬、治愈、孤独、正能量、感人、,国语,96,
黄昏晓,周柯宇、,流行-华语流行、,抒情、悲伤、思念、,国语,63,
Find My Way To You (feat. Shalom Margaret),Myles Parrish、Shalom Margaret、,流行、嘻哈说唱-流行说唱、,抒情、爱情、思念、夜店、,英语,139,
五百二十赫兹,Capper、,嘻哈说唱-旋律说唱、嘻哈说唱-中文嘻哈、嘻哈说唱-模糊说唱、,抒情、动感、紧张、悲伤、快乐、爱情、思念、慵懒、浪漫、放松、憧憬、治愈、神秘、酒吧、,国语,111,
龙卷风 (Live),G.E.M.邓紫棋、,原声带-综艺原声、流行-华语流行、,抒情、,国语,72,
我的美丽feat.海洋Bo,海洋Bo、高睿、,嘻哈说唱-流行说唱、,抒情、清新、幸福、悲伤、快乐、爱情、思念、慵懒、放松、憧憬、治愈、轻快、洒脱、遗憾、,国语,117,
坏女孩,徐良、小凌、,流行-华语流行、,抒情、动感、悲伤、快乐、爱情、思念、慵懒、浪漫、苦情、活力、放松、孤独、轻快、遗憾、,国语,127,
达尔文,蔡健雅、,流行-华语流行、,抒情、放松、,国语,77,
NUNA 2.0,队长、叶琼琳、,流行-华语流行、,抒情、悲伤、抑郁、爱情、思念、浪漫、苦情、放松、治愈、孤独、洒脱、遗憾、,国语,68,
寂寞烟火,朱婧汐Akini Jing、,流行-华语流行、,抒情、,国语,62,
形容（呆呆破版）,笨蛋小阳、,流行-华语流行、,抒情、悲伤、爱情、浪漫、孤独、,国语,75,
唯一,告五人、,另类/独立-独立流行、,甜蜜、抒情、悲伤、抑郁、快乐、爱情、思念、浪漫、苦情、放松、憧憬、治愈、孤独、酒吧、洒脱、遗憾、感人、,国语,69,
四季予你,程响、,流行-华语流行、,甜蜜、抒情、动感、幸福、悲伤、平静、快乐、爱情、思念、慵懒、浪漫、放松、憧憬、治愈、孤独、轻快、,国语,70,
不做你的朋友,高旭、,嘻哈说唱-中文嘻哈、,抒情、动感、悲伤、爱情、思念、KTV、,国语,72,
为你写诗,火鸡、,流行-华语流行、,甜蜜、抒情、幸福、悲伤、快乐、爱情、,国语,73,
最好的我,刘大拿、刘思达LOFTHESTAR、,流行-华语流行、,抒情、悲伤、,国语,68,
是你,梦然、,流行-华语流行、,抒情、悲伤、放松、治愈、亲情、,国语,122,
浪漫血液,林俊杰、,流行-华语流行、,抒情、悲伤、思念、KTV、,国语,68,
素颜,许嵩、何曼婷、,流行-华语流行、,抒情、爱情、浪漫、放松、憧憬、KTV、,国语,84,
或许,LBI利比、,流行-华语流行、,抒情、悲伤、爱情、思念、浪漫、苦情、放松、KTV、,华语,65,
红蔷薇白玫瑰,G.E.M.邓紫棋、,流行-华语流行、,抒情、,国语,69,
NUNA,队长、,流行-华语流行、,抒情、动感、悲伤、爱情、思念、浪漫、孤独、酒吧、有氧、家务、,国语,68,
隆里电丝,盛宇D-SHINE、,流行-华语流行、嘻哈说唱-旋律说唱、,动感、快乐、活力、夜店、,国语,115,
给你一瓶魔法药水,告五人、,摇滚-独立摇滚、流行-华语流行、,热血、抒情、动感、快乐、爱情、浪漫、活力、旅游、有氧、家务、,华语,98,
经济舱,KEY.L刘聪、KAFREE HU、,嘻哈说唱-流行说唱、嘻哈说唱-情绪说唱、,抒情、动感、悲伤、爱情、思念、浪漫、苦情、活力、,国语,110,
