歌名,歌手,曲风,推荐标签,语种,BPM,乐评
Time of Our Lives,Pitbull、Ne-Yo、,流行-流行舞曲、嘻哈说唱、拉丁音乐-拉丁流行、,动感、快乐、活力、夜店、极限运动、举铁、,英语,125,
Walking On A Dream,Empire of the Sun、,流行、,正能量、,英语,127,
Good Feeling,Flo Rida、,电子、,动感、活力、,英语,127,
Don't Start Now,Dua Lipa、,电子-新迪斯科、,动感、快乐、活力、放松、KTV、夜店、婚礼、极限运动、,英语,125,
