歌名,歌手,曲风,推荐标签,语种,BPM,乐评
Explain,Blur、,摇滚-英伦摇滚、,热血、动感、KTV、,英语,,
Ignorance,Paramore、,摇滚、另类/独立、朋克、,,英语,85,
"""Heroes""",David Bowie、,摇滚-英伦摇滚、摇滚-华丽摇滚、,热血、动感、放松、激烈、大气、,英语,112,
Supremacy,Muse、,摇滚-英伦摇滚、,热血、动感、,英语,78,
Learn to Fly,Foo Fighters、,摇滚-流行摇滚、摇滚-另类摇滚、另类/独立、,热血、动感、,英语,136,
