歌名,歌手,曲风,推荐标签,语种,BPM,乐评
Contemplation,Melody of Sound、,古典-当代古典音乐、古典-古典跨界、,冥想、放松、平静、,纯音乐,111,
Barcelona,Michiel Borstlap、,古典、,悲伤、,纯音乐,181,
We Will Last,Marta Lien、,流行、古典、,,纯音乐,,
Toys around,Mirta da Silva、,新世纪-冥想音乐、,悲伤、孤独、,纯音乐,92,
