歌名,歌手,曲风,推荐标签,语种,BPM,乐评
Into Ether (Original Mix),Jeremy Lim、,电子-驰放低音、,动感、紧张、梦幻、放松、神秘、,纯音乐,142,
Once More (Original Mix),Shion Hinano、,电子-渐进浩室、,动感、活力、放松、,英语,125,
天际线 Skyline,Ouuuuuu、,,,,,
Cranes (Extended Mix),Nils Hoffmann、Natascha Polke、,电子、,动感、梦幻、活力、放松、,纯音乐,122,
Leben,Athvme、,电子、,冥想、动感、,英语,55,
Blue Space (Extended Mix),Jody Wisternoff、James Grant、Jinadu、,电子、,动感、活力、,英语,120,
Time to Say Goodbye,Mr FijiWiji、Direct、ARUNA、,电子、,抒情、悲伤、梦幻、放松、,英语,133,
Hidden Aura,Klimeks、,电子、,放松、,英语,125,
Chasing Daydreams (Extended Mix),DJ Licious、PollyAnna、,电子-未来浩室、,动感、活力、放松、,英语,120,
泳,3ASiC、LJC、,电子、,动感、活力、,,,
Keep This Memory (Original Mix),Audien、,电子、,夜店、,英语,63,
Perspective,Mark Digital、,电子-渐进浩室、,动感、梦幻、活力、放松、,,63,
Lost Song,Roald Velden、,电子、,动感、活力、,纯音乐,125,
Skyscrapers,ᴠøʀxᴛx.晴、,电子-漂移冯克、,动感、活力、放松、,纯音乐,75,
Things We Lost,Adam Sobiech、,,动感、活力、,,,
Solitary Road,Fur Coat、,电子-Electronica、,抒情、,英语,,
35... (Original Mix),Tiikk、,电子、,梦幻、放松、冥想、平静、,,60,
Patch,Robo Rat、,电子-深浩室舞曲、,抒情、,纯音乐,107,
Flowers,Paraceta、,嘻哈说唱-低保真嘻哈、,动感、快乐、放松、,纯音乐,80,
Mellow Apricot,Mixtus、,嘻哈说唱-低保真嘻哈、,悲伤、放松、孤独、冥想、,纯音乐,75,
Hopesick,GOLDLY、fnonose、DreamBetter、,,快乐、放松、,,60,
MYSA,Anitek、,流行、嘻哈说唱-器乐说唱、,动感、悲伤、放松、,英语,69,
Smooth,Happy Soulboy、,嘻哈说唱-低保真嘻哈、,动感、慵懒、放松、,英语,85,
Brainwaves,Demurely、,电子、,悲伤、抑郁、动感、,纯音乐,65,
S.E.P Field,Robo Rat、,电子、,活力、动感、梦幻、放松、,纯音乐,107,
Number#,Azurenity、,嘻哈说唱、,动感、悲伤、放松、,纯音乐,80,
One for Babushka,Robo Rat、,电子、,抒情、,纯音乐,100,
Larina,Sin Valor、,电子-Electronica、新世纪-冥想音乐、,动感、放松、酒吧、,,89,
"Low Ceiling, Dim Lights",Ori Kul、,电子-电气浩室舞曲、,动感、悲伤、梦幻、抑郁、放松、,,100,
Daisy-Chain,Lou Filou、vlows、,原声带-电影原声、,动感、,,80,
Back to Java,RaFa Sessions、,电子-深浩室舞曲、,动感、放松、,纯音乐,100,
slidetrue,slidetrue、,,动感、悲伤、抑郁、,纯音乐,90,
Rondo a la cocoa,Alek Faith、,嘻哈说唱、,动感、活力、,纯音乐,85,
Selftalk,Cedric Mercute、,电子、,动感、放松、,纯音乐,93,
coffee and blankets,Chill Collusion、,嘻哈说唱-低保真嘻哈、,动感、放松、,纯音乐,81,
sky high,eaup、,嘻哈说唱、,动感、放松、冥想、,,89,
Kind Hearts,Stenkil、,电子-热带浩室舞曲、,动感、梦幻、放松、,,95,
Anna's Guesthouse,Malacca、,电子、,放松、,纯音乐,144,
Beatin' Hearts,David Kuro、,电子-驰放浩室、,动感、梦幻、活力、放松、,纯音乐,56,
Kissing on the Dance Floor,Tyler Greyson、,电子-电气浩室舞曲、,动感、放松、,,111,
logical!!,hazze haze、,嘻哈说唱-低保真嘻哈、,动感、放松、,纯音乐,95,
Feel Free,Lichtboje、,嘻哈说唱、,动感、放松、,,81,
Youth,Ensidya、,嘻哈说唱-低保真嘻哈、,动感、平静、放松、,纯音乐,77,
Transparency,People Safari、,电子、,动感、,纯音乐,115,
Starlight,J0pie、,嘻哈说唱-低保真嘻哈、,爱情、慵懒、浪漫、放松、,纯音乐,89,
lofiology,Trixpot、,嘻哈说唱、,动感、悲伤、抑郁、,纯音乐,69,
Carte blanche,Sennhofer、,电子-深浩室舞曲、,动感、梦幻、放松、,纯音乐,109,
Window in Time,MC Baptiste、,电子-驰放浩室、嘻哈说唱、,梦幻、放松、,纯音乐,113,
Midnight Sessions,Yungie x 2、,嘻哈说唱-低保真嘻哈、,悲伤、孤独、,纯音乐,84,
All In,Deauxnuts、Glimlip、,,动感、放松、,,80,
soft bay,Cosmic Citrine、,电子-驰放浩室、,动感、活力、,纯音乐,90,
Lujo,DJ Duboise、,电子-驰放浩室、,动感、梦幻、放松、冥想、,纯音乐,98,
Himalayas,Chill Cole、,电子-缓拍、,梦幻、放松、动感、,纯音乐,89,
Rolling Waves,Calvio、,,孤独、悲伤、,纯音乐,69,
Dancing With Ghosts,J Gov、,电子-缓拍、新世纪-冥想音乐、,动感、放松、,纯音乐,92,
smoky quartz,!Noj、,爵士、,动感、快乐、放松、,英语,,
Finding Answers,Kenobig、,,动感、悲伤、抑郁、,纯音乐,60,
Nothing But Love,Chimes & Diamonds、,电子、,动感、悲伤、抑郁、放松、,纯音乐,75,
Natural Capacity,Lifty Haze、,电子、,动感、梦幻、放松、,纯音乐,80,
Gold Coast,Hibiscus、,电子、,动感、,纯音乐,107,
FLAVOURS,Son Of Arn、,嘻哈说唱-低保真嘻哈、,动感、悲伤、孤独、,纯音乐,80,
Shaving My Soul,Commie Banana、,,活力、动感、,纯音乐,156,
Cuddle,Elton Baptiste、,电子、,孤独、悲伤、,,76,
Sunday Adventures,joorla、,,孤独、悲伤、,纯音乐,120,
reflect,Sin & Logo、,电子-驰放浩室、,动感、冥想、,纯音乐,105,
Ditty,Dusty Decks、,嘻哈说唱-低保真嘻哈、,动感、慵懒、活力、放松、,纯音乐,,
Magic Hour,SloSk8、,电子-热带浩室舞曲、,放松、,,82,
Atotoztli,Jarhed、,,动感、爱情、慵懒、浪漫、放松、,纯音乐,69,
Flic-en-Flac,Pool Villa、,电子、,动感、,纯音乐,115,
A beautiful day,Silk Soul、,电子、,动感、放松、,纯音乐,92,
Fun Fact,Dozed Again、,嘻哈说唱-低保真嘻哈、,动感、梦幻、放松、,纯音乐,81,
Nacho Mood,Erik Obregon、,电子、新世纪-冥想音乐、,动感、悲伤、梦幻、抑郁、放松、,,80,
How The Story Goes,The Escape Route、,,动感、放松、,纯音乐,167,
Two Hearts,Tino Tapes、,电子、新世纪-冥想音乐、,动感、悲伤、,,89,
A Better Tomorrow,slowheal、,,动感、放松、,,75,
The Master Plan,No Contaban、,电子、新世纪-冥想音乐、,动感、梦幻、放松、,,115,
Lightweight,Going North、,嘻哈说唱-低保真嘻哈、,快乐、放松、,纯音乐,80,
Greener,FKJ、Santana、,电子、,抒情、动感、活力、放松、,英语,82,
lately,moon tang、,流行、,动感、放松、,英语,105,
Sunday by the River,Orbit、,电子、,放松、,英语,80,
Live Well,Palace、,摇滚-另类摇滚、,热血、抒情、动感、爱情、浪漫、活力、放松、旅游、,英语,95,
Bright Red,Ryan Beatty、,流行、,放松、慵懒、,英语,76,
Float,The Altons、,节奏布鲁斯-灵魂乐、,梦幻、放松、慵懒、,英语,174,
Like I Do,Matthew Ifield、,另类/独立-独立流行、流行、,放松、,英语,135,
Glue Song (feat. Clairo),beabadoobee、Clairo、,另类/独立、,放松、悲伤、抒情、快乐、,英语,113,
Supermoon,Summer Salt、,另类/独立、,放松、动感、浪漫、爱情、,英语,105,
Chocolate Hills,Khruangbin、Leon Bridges、,另类/独立、,动感、慵懒、放松、,英语,131,
Charlie,Alex Siegel、,另类/独立-独立流行、流行、,动感、放松、,英语,85,
How I Love,King Tuff、,另类/独立、,动感、放松、,英语,77,
Running,Varju、,另类/独立-独立流行、,动感、放松、治愈、,英语,178,
Spring,Arny Margret、Júníus Meyvant、,民谣、,放松、抒情、慵懒、,英语,142,
ocean blues,dayaway、,另类/独立、流行、,放松、动感、,英语,142,
safety,Greek、,节奏布鲁斯-灵魂乐、另类/独立、,放松、,英语,,
When Will I Learn,Tora、,另类/独立、电子、,梦幻、放松、,英语,89,
ON 10,Destin Conrad、,节奏布鲁斯-灵魂乐、,动感、放松、,英语,111,
I Love Being Invisible,Rowena Fysx、,节奏布鲁斯-灵魂乐、,动感、放松、,英语,111,
Blue,Hope Tala、,节奏布鲁斯-灵魂乐、流行、,慵懒、放松、,英语,,
Game Over,Speelburg、,流行、,放松、动感、慵懒、,,119,
Hold My Head,Kenny Beats、,嘻哈说唱、,活力、动感、放松、,英语,97,
Free Again,Arima Ederra、,,动感、放松、,英语,115,
Scarlet,Telenova、,另类/独立、,动感、放松、,英语,95,
J'aime les filles,Kate Bollinger、,另类/独立、,放松、,法语,119,
Evolution,Braids、,另类/独立、电子、,放松、,,122,
Settle Down,North Downs、,另类/独立、,放松、,英语,,
About You,Afroham、cocabona、Ginge、,嘻哈说唱、,,英语,67,
What About Me?,Dayo Bello、,节奏布鲁斯、,动感、活力、,英语,138,
God Turn Me Into a Flower,Weyes Blood、,流行、,放松、治愈、冥想、,英语,88,
Dream About You,Bien et Toi、Halima、,另类/独立、流行、,,英语,87,
Secrets,Kevitch、,节奏布鲁斯-灵魂乐、节奏布鲁斯-当代节奏布鲁斯、,动感、悲伤、抑郁、,英语,129,
trustfall,VELVETEARS、eli filosov [ p h i l o ]、,另类/独立、嘻哈说唱、,悲伤、放松、抒情、,英语,145,
squirrel song,Juliana Chahayed、,,放松、平静、,,114,
