歌名,歌手,曲风,推荐标签,语种,BPM,乐评
Lonestar,Norah Jones、,爵士-当代爵士、爵士-人声爵士、,动感、慵懒、放松、酒吧、,英语,89,
Bossa Du Nord,Bossa Nova、,爵士-巴萨诺瓦、,抒情、爱情、思念、慵懒、浪漫、放松、,纯音乐,100,
I'll Let You Know,Houston Person、,爵士-比波普、爵士-硬波普、,咖啡厅、慵懒、放松、浪漫、爱情、,,112,
Waltz for Linda,Alberto Bof、,爵士、,平静、放松、冥想、,英语,,
Whoopsie Daisy,Egil Olsen、,爵士-爵士蓝调、,慵懒、放松、,英语,117,
And So It Goes,Russell Malone、,爵士-比波普、,学习、放松、,,,
Everytime We Say Goodbye (Stereo) [2022 Remaster],John Coltrane、,爵士、,咖啡厅、放松、慵懒、,,120,
Spring Is Here,Bill Evans、,爵士、流行、,咖啡厅、放松、,英语,,
They can't take that away from me,Ella Fitzgerald & Louis Armstrong、,爵士、,慵懒、放松、浪漫、爱情、正能量、,,,
Giant Steps (2020 Remaster),John Coltrane、,爵士、,动感、爱情、浪漫、放松、咖啡厅、,,145,
I Fall in Love Too Easily (2013 - Remaster),Johnny Hartman、,爵士、,,英语,,
Intoit,Stan Getz、,原声带-电影原声、爵士、,动感、爱情、浪漫、放松、咖啡厅、,英语,157,
Come Rain or Shine,Scott LaFaro、,,咖啡厅、放松、快乐、可爱、洒脱、正能量、,英语,,
Yellow And Blue,Roz、,爵士、,咖啡厅、动感、放松、,纯音乐,131,
Everything Happens To Me,Erroll Garner、,爵士、,放松、慵懒、,英语,,
Come What May,Joshua Redman Quartet、,爵士、,孤独、悲伤、放松、,,125,
Compromises,Arne Torvik、Bjørnar Kaldefoss Tveite、Øystein Aarnes Vik、,爵士-当代爵士、,放松、,英语,,
Dardanella,Emmet Cohen、,爵士、,放松、可爱、快乐、,英语,,
Draw Me Nearer,Joey Alexander、,爵士、,悲伤、放松、孤独、,英语,,
Ask Me Now,Teemu Viinikainen、,爵士、,咖啡厅、放松、,,117,
Ev'rytime We Say Goodbye,Mark Sherman、,爵士-比波普、,放松、,英语,,
Those Sweet Words,Norah Jones、,爵士、,清新、放松、,英语,104,
Koral,Bugge Wesseltoft、,爵士、,平静、放松、,纯音乐,58,
Black Classical Music (feat. Venna & Charlie Stacey),Yussef Dayes、Venna、Charlie Stacey、,爵士、,梦幻、放松、可爱、快乐、,纯音乐,156,
I Can't Escape from You,Jeremy Pelt、,爵士-比波普、爵士-硬波普、,学习、慵懒、放松、浪漫、爱情、,,128,
Twelve for J.,Caris Hermes、,爵士、,悲伤、放松、孤独、,英语,120,
The Moon Is A Harsh Mistress,Radka Toneff、,爵士、,放松、,英语,,
Fly (For Mike) feat. Brittany Howard,Nate Smith、Brittany Howard、,爵士-当代爵士、,放松、浪漫、爱情、,英语,57,
Rising Mind,Aaron Parks、,爵士、,梦幻、放松、浪漫、爱情、,英语,144,
When We Meet Halfway,Armel Dupas Trio、,爵士、,放松、,纯音乐,,
They Can't Take That Away from Me,Torsten Goods、,爵士-人声爵士、,慵懒、放松、,英语,57,
Pure Imagination,Richard Baratta、,爵士-比波普、爵士-硬波普、,放松、,,122,
No More Tears,Buena Vista Cuban Players、,爵士、,慵懒、放松、,华语,61,
Do Friends Fall in Love?,Rachael & Vilray、,爵士、,,英语,109,
The Streets of Berlin,Viktoria Tolstoy、,爵士、,孤独、悲伤、放松、,英语,,
Darn That Dream,Cyrus Chestnut、,爵士-比波普、,悲伤、放松、孤独、酒吧、,,,
Undecided,Erroll Garner、,爵士、,爱情、浪漫、放松、咖啡厅、,英语,163,
Chances Are,Johnny Mathis、,爵士-人声爵士、,爱情、浪漫、酒吧、,英语,77,
Long Drive to South Beach,Bossa Nova、,爵士、,可爱、快乐、放松、,英语,89,
The Christmas Waltz,Laufey、,爵士、,,英语,107,
Billie Jean,Winterplay、,爵士、,慵懒、放松、,英语,115,
The Christmas Song,Ongaku No Datsuzin、,爵士、,慵懒、放松、咖啡厅、,韩语,123,
CAPE LIGHT,THE SQUARE Reunion、T-SQUARE、,爵士-融合爵士、,抒情、动感、爱情、浪漫、KTV、,纯音乐,105,
A New Point of View,Bossa Nova、,爵士-巴萨诺瓦、,咖啡厅、浪漫、爱情、放松、慵懒、,纯音乐,88,
The Moon Is a Harsh Mistress,Radka Toneff、,爵士、,放松、咖啡厅、,英语,81,
Joe's Blues,Joe Pass、,爵士-比波普、,悲伤、孤独、,纯音乐,84,
Love of My Life,Nils Landgren、,爵士-流行爵士、,悲伤、爱情、咖啡厅、,英语,98,
Ole & Gard,Pat Metheny、,爵士、,放松、,纯音乐,128,
Good Morning Starshine,Lina Nyberg、Daniel Karlsson、,爵士-人声爵士、,,英语,,
The Infamous Grouse,Misha Mullov-Abbado、,爵士-当代爵士、,放松、动感、,英语,143,
Kin,Bill Laurance、Michael League、,爵士、,抒情、平静、放松、咖啡厅、,纯音乐,131,
Tristeza,Baden Powell、,爵士-巴萨诺瓦、,放松、冥想、,英语,109,
Boreal Forest,Mammal Hands、,爵士、,梦幻、放松、,纯音乐,116,
Nocturne in F Minor,Jive Ass Sleepers、,爵士、,慵懒、放松、咖啡厅、,英语,,
Why Did I Choose You,Houston Person、,爵士-比波普、爵士-硬波普、,放松、,,124,
Dave,Orrin Evans、,爵士、,放松、,英语,,
Los Bandidos Bogarolles,Judith O'higgins、Dave O'Higgins、His'n'Hers、,爵士-比波普、,咖啡厅、动感、浪漫、爱情、放松、,英语,,
Everything Happens to Me,Samara Joy、,爵士-当代爵士、,放松、,英语,,
Peace,Steve Davis、,爵士、,孤独、悲伤、咖啡厅、浪漫、爱情、慵懒、放松、,英语,,
Runmarö,Carl Bagge、,爵士-当代爵士、,咖啡厅、慵懒、放松、浪漫、爱情、,,,
Don’t Know Why　,Winterplay、,爵士-人声爵士、,慵懒、放松、咖啡厅、酒吧、,英语,88,
I Don't Miss You Anymore,Lisa Ekdahl、,爵士-流行爵士、,抒情、动感、悲伤、思念、慵懒、放松、孤独、咖啡厅、酒吧、,英语,69,
Danger in Loving You,Halie Loren、,爵士-人声爵士、,抒情、动感、爱情、慵懒、浪漫、放松、酒吧、,英语,69,
Carry On,Norah Jones、,爵士-人声爵士、,抒情、动感、悲伤、慵懒、放松、孤独、,英语,80,
Kinky Love,Rita Calypso、,爵士-巴萨诺瓦、,清新、放松、,英语,116,
So Nice,Olivia Ong、,爵士、,可爱、快乐、放松、咖啡厅、,英语,119,
Candy Street,Elsa Kopf、,民谣、,抒情、清新、动感、爱情、浪漫、放松、咖啡厅、,英语,117,
Nothin On You,Marcela Mangabeira、,爵士、,放松、,英语,93,
Alone Again,Lilly me、,流行、,清新、放松、,日语,74,
L-O-V-E,Olivia Ong、,爵士-巴萨诺瓦、,清新、放松、,英语,119,
Doop-Doo-De-Doop,Blossom Dearie、,爵士、,可爱、快乐、放松、,英语,125,
Love,Milt Gabler、,爵士-巴萨诺瓦、,爱情、慵懒、浪漫、放松、咖啡厅、酒吧、,法语,119,
I'm Old Fashioned,Sarah McKenzie、,爵士、,慵懒、放松、浪漫、爱情、,英语,115,
Don't Let Me Be Lonely Tonight,David Sanborn、Lizz Wright、,爵士、,咖啡厅、,英语,116,
Then I'll Be Tired of You,Coleman Hawkins、,爵士-冷爵士、,爱情、慵懒、浪漫、放松、咖啡厅、,纯音乐,64,
I'm Getting Sentimental Over You,Anita O'Day、,,咖啡厅、慵懒、放松、浪漫、爱情、,英语,,
Rosa,Maria João、,爵士-人声爵士、,清新、放松、,英语,110,
Sweet Pea,The Hot Sardines、The Hot Sardines、,爵士、,慵懒、放松、,英语,105,
Dipping Birds,Ben Lively、,爵士、,悲伤、放松、孤独、,纯音乐,128,
Can't Help Lovin' That Man,Julie London、,爵士、流行、,放松、,英语,131,
Recordame,Liv Stoveland、,爵士、,咖啡厅、慵懒、放松、,英语,,
All I Really Want Is Love,Lisa Ekdahl、,爵士、,慵懒、放松、,英语,144,
From This Moment On,Bria Skonberg、,爵士、,抒情、动感、活力、放松、,英语,129,
Li'l Darlin,Monica Borrfors、,电子-迪斯科、,悲伤、爱情、放松、孤独、,英语,,
Never Die Young,Luciana Souza、James Taylor、,爵士-巴萨诺瓦、,放松、抒情、,英语,108,
There Is No Greater Love,Lyambiko、,爵士-爵士蓝调、蓝调、,咖啡厅、动感、慵懒、放松、爱情、,英语,,
Moonlight Becomes You,Barry Manilow、,爵士、,放松、爱情、,英语,,
I'll Be Seeing You,Ellen Andersson Quartet、,爵士、,动感、放松、,英语,,
Little Girl,Marita Røstad、,流行、,放松、,英语,,
Don't Take Your Love From Me,Catherine Russell、,爵士、,放松、,,,
Só Tinha De Ser Com Você,Jane Monheit、,爵士、,慵懒、放松、咖啡厅、,葡萄牙语,122,
A New Path,Elisabeth Melander、Martin Berggren、David Andersson、Andreas Baw、,爵士-冷爵士、,KTV、浪漫、爱情、慵懒、放松、,英语,,
The Way You Look Tonight,Madeleine Peyroux、,爵士、,清新、放松、,英语,,
Sunday Kind Of Love,Steve Tyrell、,,放松、爱情、,英语,,
Memories of You,Carol Welsman、,爵士-摇摆乐、爵士-当代爵士、,孤独、悲伤、放松、,英语,125,
It's Always You,Susie Arioli、,爵士、,酒吧、慵懒、放松、,英语,,
My Romance,Tony Bennett、,爵士-人声爵士、,酒吧、慵懒、放松、治愈、,欧美,148,
Fever,Tierney Sutton、,爵士、,动感、慵懒、放松、,,,
L-O-V-E,Gregory Porter、,爵士、,动感、放松、慵懒、幸福、快乐、,英语,,
Me Gustas Cuando Callas,Cyrille Aimée、,爵士、,放松、慵懒、,西班牙语,,
Squeeze Me,Diana Krall、,爵士、,慵懒、放松、咖啡厅、,英语,128,
Go Slow,Laura Benanti、,爵士、流行、,放松、,英语,,
You Make Me Feel so Young,Emilie-Claire Barlow、,爵士、,抒情、爱情、放松、,,,
Moonlight Serenade,Kurt Elling、,爵士、,放松、爱情、,英语,134,
What A Difference A Day Made,Jamie Cullum、,爵士-人声爵士、,抒情、爱情、慵懒、放松、咖啡厅、酒吧、,英语,96,
Never Let Me Go,Stacey Kent、,爵士-当代爵士、,放松、咖啡厅、酒吧、,英语,111,
Midnight Sun,Viktoria Tolstoy、,爵士、,,英语,123,
Hours Of Ours,Sinne Eeg、,爵士、,慵懒、放松、浪漫、爱情、,英语,,
A Sunday Kind Of Love,Ruth Cameron、,爵士、流行、,孤独、悲伤、放松、爱情、,英语,125,
Then I'll Be Tired of You,Kat Gang、,爵士、,放松、,欧美,,
My Funny Valentine,Seal、Chris Walden、,爵士、,KTV、慵懒、放松、,英语,129,
Are You Lonesome Tonight? (Album Version),Chris Botti、Paul Buchanan、,爵士、,慵懒、放松、咖啡厅、,英语,123,
I Will Wait For You,Nicki Parrott、,爵士-当代爵士、,孤独、悲伤、放松、爱情、,英语,,
Little Sunflower,Camila Meza、,爵士-拉丁爵士、,梦幻、慵懒、放松、,英语,,
If You Love Me,Melody Gardot、,爵士、,放松、爱情、,英语,124,
MY ONE AND ONLY LOVE,Karen Souza、,爵士、,慵懒、放松、,英语,,
Wild Is The Wind,Kari Kirkland、,爵士、,爱情、放松、,英语,,
Little Paradise,Eliane Elias、,爵士、世界音乐、,放松、爱情、,英语,122,
Cheek to Cheek,Ellas Kapell、Magnus Lindgren、,爵士-冷爵士、,放松、,英语,,
All Over the World,Katie Melua、,爵士-人声爵士、,放松、,英语,98,
What a wonderful world,Michael Bublé、,爵士-人声爵士、,抒情、悲伤、咖啡厅、酒吧、,英语,60,
Fly Me To The Moon,Helmut Lotti、,爵士-人声爵士、,爱情、浪漫、放松、KTV、,英语,120,
C'est Si Bon,Halie Loren、,爵士-人声爵士、,爱情、浪漫、咖啡厅、,法语,69,
Hey Laura,Gregory Porter、,爵士-当代爵士、,,英语,,
You Are There,Stacey Kent、Colin Oxley、Jim Tomlinson、David Newton、Simon Thorpe、Jasper Kviberg、,爵士、,抒情、悲伤、爱情、浪漫、咖啡厅、,英语,54,
A Song for You (feat. Chris Botti),Michael Bublé、Chris Botti、,爵士-人声爵士、流行、,抒情、悲伤、慵懒、放松、咖啡厅、,英语,55,
Water Under Bridges,Gregory Porter、,爵士-人声爵士、,抒情、慵懒、放松、咖啡厅、,英语,,
Baby Won't You Please Come Home (feat. Vince Giordano & The Nighthawks),Leon Redbone、,原声带-电视剧原声、,可爱、快乐、放松、,英语,166,
A Love That Will Last,Reneé Olstead、,流行-欧美流行、,动感、慵懒、放松、咖啡厅、,英语,81,
I've Got A Crush On You,Stacey Kent、Colin Oxley、Jim Tomlinson、David Newton、Simon Thorpe、Jasper Kviberg、,爵士、,爱情、慵懒、浪漫、放松、咖啡厅、,英语,55,
You Can Depend On Me,Frankie Laine、,乡村、,抒情、放松、学习、,英语,105,
Mountain Greenery,Kat Edmonson、Vince Giordano & The Nighthawks、,原声带-电影原声、,爱情、浪漫、放松、咖啡厅、酒吧、舞会、,英语,167,
Killing Me Softly With His Song,Cheryl Bentyne、,爵士、,爱情、慵懒、浪漫、放松、,英语,75,
what a difference a day made,Jamie Cullum、,爵士-柔顺爵士、爵士-当代爵士、,慵懒、放松、咖啡厅、酒吧、,英语,96,
I Just Dropped By To Say Hello,Johnny Hartman、,爵士-人声爵士、,咖啡厅、慵懒、放松、浪漫、爱情、,英语,50,
Dear Ella (Album Version),Dee Dee Bridgewater、,爵士、,爱情、浪漫、酒吧、,英语,138,
Come Dance With Me,Frank Sinatra、,爵士、,放松、动感、热血、,英语,142,
It's a Good Day,Peggy Lee、,爵士-摇摆乐、,动感、慵懒、放松、,英语,122,
Misty,Dianne Reeves、,爵士、,爱情、慵懒、浪漫、放松、咖啡厅、酒吧、,英语,50,
The Way You Look Tonight,Frank Sinatra、,爵士-摇摆乐、流行、,抒情、动感、活力、,英语,132,
Solid As A Rock,Ella Fitzgerald、,爵士-摇摆乐、,清新、动感、放松、,英语,74,
Samba Blue,Michael Franks、,爵士、,动感、活力、,英语,121,
I'll Be Around,Carol Sloane、,爵士、,抒情、快乐、酒吧、慵懒、放松、,英语,57,
I Will Survive,Nils Landgren、,爵士、,动感、爱情、浪漫、放松、,英语,91,
fever,Peggy Lee、,爵士-人声爵士、,放松、酒吧、,英语,136,
L-O-V-E,Natalie Cole、,爵士-人声爵士、,抒情、动感、爱情、慵懒、浪漫、活力、放松、KTV、,英语,78,
So Nice,Jim Tomlinson、Stacey Kent、,爵士-巴萨诺瓦、,爱情、慵懒、浪漫、放松、酒吧、,英语,92,
Come Away With Me,Norah Jones、,爵士-当代爵士、,KTV、放松、慵懒、抒情、,英语,80,
More,Matt Dusk、,爵士-人声爵士、,抒情、慵懒、放松、,英语,100,
From The Start,Laufey、,爵士-巴萨诺瓦、,清新、快乐、放松、,英语,82,
Jimmy Jazz,Carla Bruni、,流行、,清新、放松、活力、动感、快乐、,英语,103,
Close to You,Hailey Tuck、,爵士、,放松、,英语,,
One Flight Down,Crystal Kay、,流行-日本流行、,慵懒、放松、,英语,132,
Someone Like You,Samara Joy、,爵士、,慵懒、放松、,英语,121,
Try Your Wings,Silva Thordardottir、Steingrímur Teague、,爵士-人声爵士、,,英语,124,
(Getting Some) Fun Out Of Life,Madeleine Peyroux、,爵士、,放松、清新、,英语,,
Autumn Leaves,Eva Cassidy、,爵士、流行-成⼈时代、,放松、,英语,151,
Morning Sun,Melody Gardot、,爵士、,,英语,,
These Are the Memories,Emmaline、,爵士、,慵懒、放松、,英语,121,
A Love That Will Last,Reneé Olstead、,爵士、,悲伤、孤独、,英语,167,
Lumiére,Emily Sage、,爵士、,放松、,英语,,
Moon River,Carla Bruni、,流行-法国流行、,抒情、悲伤、慵懒、放松、咖啡厅、,英语,78,
"I'm the Sky, I'm the Earth",Deniz Tasar、Halil Çağlar Serin、,爵士、,,英语,,
Your Heart Is As Black As Night,Melody Gardot、,爵士-人声爵士、,抒情、爱情、慵懒、浪漫、放松、酒吧、,英语,71,
Hilltop,Sophia HP、,,清新、放松、,,,
Girl From Ipanema,Jonny Blu、,轻音乐、,放松、,英语,,
Dream a Little Dream,Laura Fygi、,,悲伤、孤独、咖啡厅、酒吧、,英语,88,
Hommage,Marek Johnson、,流行、,悲伤、慵懒、放松、,英语,129,
Someone To Watch Over Me,Asher Monroe、,原声带-电影原声、,慵懒、放松、,英语,,
Call Me,Eliane Elias、,爵士-巴萨诺瓦、,慵懒、放松、,英语,,
I've Got You Under My Skin,Matt Dusk、,爵士、,动感、爱情、放松、,英语,,
Ain't No Sunshine,Ida Sand、,爵士、,放松、,,,
This Life,The Magic Lantern、,另类/独立、民谣、,慵懒、放松、,,,
Castles in the Air,Laura & Anton、,爵士、,放松、,英语,,
The Sun Is Shining for Our Love,Jeff Cascaro、,节奏布鲁斯、,放松、,英语,,
I'll Tell You Something,Gabi Hartmann、,爵士、民谣-流行民谣、,慵懒、放松、治愈、,英语,,
I've Never Been In Love Before,Laufey、,爵士-爵士蓝调、另类/独立、,放松、,英语,123,
The Lemonade Song,Pink Martini、,爵士-人声爵士、,快乐、活力、动感、抒情、放松、幸福、,英语,117,
