歌名,歌手,曲风,推荐标签,语种,BPM,乐评
"Nocturnes, Op. 9:No. 2 in E-Flat Major",Arthur Rubinstein、,古典、,平静、放松、冥想、,纯音乐,135,
"Herz und Mund und Tat und Leben, Cantata BWV 147 - Arr. Guillermo Figueroa:Jesu, Joy Of Man's Desiring",Orpheus Chamber Orchestra、,古典-巴洛克音乐、,抒情、放松、学习、冥想、,,,
"Clarinet Quintet in B minor, Op.115:2. Adagio",Johannes Brahms、Kunio Tsuchiya、Herbert Stähr、Peter Steiner、Members of the Berlin Philharmonic Octet、Ferdinand Mezger、Alfred Malecek、,古典-浪漫主义音乐、,平静、梦幻、放松、冥想、,纯音乐,128,
"Concerto a 5 in B flat, Op.7, No.3:3. Allegro",Håkan Hardenberger、I Musici、Tomaso Albinoni、,古典-巴洛克音乐、,热血、动感、放松、学习、,,,
"Nocturne in B Flat Major, H. 37 (Version for Harp)",Magdalena Hoffmann、John Field、,古典、,冥想、放松、平静、,,128,
Miniatures for Piano Trio:Set 1: No. 1. Minuet,Jack Liebeck、Alexander Chaushian、Ashley Wass、,古典-二十世纪音乐、,学习、放松、平静、,英语,,
"Goldberg Variations, BWV 988:Aria",郎朗、Johann Sebastian Bach、,古典、,学习、平静、放松、冥想、,纯音乐,151,
"Lieder ohne Worte (Songs without Words), Book 5, Op. 62:Lied ohne Worte (Song without Words), Book 5, Op. 62: No. 30 in A Major, Op. 62, No. 6, ""Fruhlingslied"" (Spring Song)",Péter Nagy、,古典-浪漫主义音乐、,放松、平静、冥想、,英语,,
"Kinderszenen, Op. 15: VII. Träumerei",Robert Schumann、Vladimir Horowitz、,古典、,放松、助眠、冥想、,英语,139,
Harp Concerto in A major:2. Larghetto,Iona Brown、Academy of St. Martin in the Fields、Marisa Robles、,古典、,平静、梦幻、放松、冥想、,纯音乐,138,
"Préludes / Book 1, L. 117:VIII. La fille aux cheveux de lin (Arr. Garrett / van der Heijden for Violin, Flute and Orchestra)",David Garrett、Cocomi、Franck van der Heijden、Orchestra the Prezent、Claude Debussy、,古典、,放松、学习、冥想、,纯音乐,54,
Springtime Suite:I,Slovak Radio Symphony Orchestra、Andrew Penny、,古典-二十世纪音乐、,学习、放松、,英语,,
Adagio in G minor (Arr. Giazotto & Palmer),Julian Lloyd Webber、English Chamber Orchestra、Nicholas Cleobury、,古典、,平静、梦幻、放松、学习、,纯音乐,127,
Mahler: Symphony No.5 in C sharp minor - 4. Adagietto (Sehr langsam),Sir Georg Solti、Chicago Symphony Orchestra、,,梦幻、放松、冥想、,纯音乐,,
"6 Stücke, Op. 32:6 Pieces, Op. 32: No. 3. Rustle of Spring",Péter Nagy、,古典、,平静、放松、冥想、,英语,,
"Widmung, Op. 25 No. 1 (Arr. Liszt, S. 566a)",Martin James Bartlett、,古典、,平静、放松、冥想、,,130,
"Piano Sonata No. 12 in F Major, K. 332:2. Adagio",Wolfgang Amadeus Mozart、内田光子、,古典-古典主义音乐、,平静、放松、学习、,纯音乐,137,
Apres un Reve,Calvin Dyck、,新世纪-精神新世纪、,学习、悲伤、放松、平静、,,,
"Sicilienne, Op. 78",Gerald Moore、Pierre Fournier、,古典-浪漫主义音乐、,悲伤、平静、抑郁、放松、学习、,,95,
"Serenade In B Flat K.361 ""Gran partita"":3. Adagio",Orpheus Chamber Orchestra、,古典-古典主义音乐、,梦幻、放松、冥想、平静、,,,
Three Jamaican Dances: No. 2,William Chapman Nyaho、,轻音乐、,学习、平静、放松、,英语,,
"Adagio in E Major, K. 261*:Adagio in E Major, K. 261",Benjamin Schmid、Salzburg Mozarteum Orchestra、Hans Graf、,古典、,梦幻、放松、学习、冥想、平静、,英语,,
"Clarinet Concerto in A Major, K. 622:II. Adagio",Jack Brymer/Sir Thomas Beecham/Royal Philharmonic Orchestra、Jack Brymer、Thomas Beecham、Royal Philharmonic Orchestra、,古典、,冥想、放松、平静、,英语,131,
