歌名,歌手,曲风,推荐标签,语种,BPM,乐评
0415,白艺潾、,电子、,动感、放松、,韩语,121,
Lovers In The Night,Seori、,嘻哈说唱、,动感、活力、,英语,98,
ALL RIGHT REMIX,金艺林、,摇滚、流行、,动感、活力、,韩语,,
BREAK WALL,KONA、SAAY、,电子、流行-韩国流行、,动感、活力、,英语,109,
JUST FUN!,Balming Tiger、,流行-韩国流行、,动感、活力、,韩语,90,
크림빵,SUMIN、Zion.T、,节奏布鲁斯-灵魂乐、,动感、放松、,韩语,,
SLATT (prod.sesåme),Sokodomo、Haeil、,流行-韩国流行、,热血、动感、活力、,韩语,,
Yellow Cab,DPR LIVE、,嘻哈说唱-韩语说唱、,动感、,英语、韩语,163,
뉴턴과중력의법칙,EXN、,嘻哈说唱、,动感、放松、,韩语,,
Electric Animal,Tabber、Keyon Christ、,嘻哈说唱、,动感、活力、,韩语,111,
대화가 대답,KONA、Goopy、SUMIN、,流行-韩国流行、,动感、快乐、,韩语,,
UPTOWN GIRL,Mirani、,节奏布鲁斯、嘻哈说唱、,可爱、快乐、动感、,韩语,119,
Bite & Chew,YELO、,流行-韩国流行、,动感、放松、,韩语,119,
사랑은 유사과학,Mudd the student、张基河、,摇滚、流行-韩国流行、,热血、动感、活力、,韩语,,
Part-time Lover,xiihu、,电子、,动感、,英语,125,
Trust Yourself,Balming Tiger、,流行-韩国流行、嘻哈说唱、,动感、活力、,韩语,162,
two girls in cyberpunk,Coa White、,流行-韩国流行、嘻哈说唱、,动感、慵懒、放松、,韩语,144,
그릇,SOULBYSEL、EXN、ROMderful、,节奏布鲁斯、,动感、活力、,韩语,120,
Diamonds,Suran、泰容、,流行-韩国流行、,动感、放松、酒吧、,韩语,107,
Power Rangers,GOLDBUUDA、Mudd the student、Tyroné Laurent、,世界音乐、流行-韩国流行、嘻哈说唱-韩语说唱、,热血、动感、,英语,,
1-2-3,BÉBE YANA、,电子、流行-韩国流行、,动感、,英语,127,
섹시느낌 (feat. RM of BTS),Balming Tiger、Omega Sapien、bj wnjn、Mudd the student、RM、,流行-韩国流行、嘻哈说唱、,动感、活力、,韩语,93,
나쁜년,BIBI、,流行、,动感、活力、,韩语,100,
Where is love,(G)I-DLE、,流行-韩国流行、,,韩语,120,
소녀시대 (Girls' Generation),少女时代、,流行-韩国流行、,动感、可爱、快乐、,韩语,111,
메아리,OH MY GIRL、,流行-韩国流行、,动感、活力、,韩语,97,
아니길 (Hope Not),BLACKPINK、,流行-韩国流行、,抒情、悲伤、爱情、放松、,韩语,109,
Sign,Brown Eyed Girls、,流行、嘻哈说唱、,可爱、快乐、,韩语,134,
Forever (约定),aespa、,流行-韩国流行、,抒情、悲伤、爱情、憧憬、KTV、,韩语,92,
미유미유 (Meow Meow),CLC、,流行、,动感、活力、舞蹈、,韩语,104,
Honey Honey,Girl's Day、,原声带、流行、,动感、可爱、快乐、,韩语,,
주머니 속 편지 (Full ver.),GFRIEND、피카친구、,流行-韩国流行、,可爱、快乐、放松、,韩语,,
Kiss,NMIXX、,电子、流行-流行舞曲、,动感、快乐、活力、,韩语,122,
이렇게 너,APRIL、,流行、,清新、放松、,韩语,96,
FIRST,EVERGLOW、,流行-韩国流行、,动感、活力、,韩语,151,
어쩌다,Brown Eyed Girls、,流行-韩国流行、,动感、可爱、快乐、,韩语,129,
"Me, in",Wonder Girls、,流行-韩国流行、,热血、动感、活力、,韩语,104,
Wanna,Kara、,流行-韩国流行、,热血、动感、可爱、快乐、活力、,韩语、英语,162,
SUPER COOL,CLASS:y、,流行、,活力、动感、放松、,韩语,99,
날 따라 해봐요,2NE1、,流行-韩国流行、,动感、活力、,韩语,121,
별 헤는 밤 (Starlight),Busters、,流行-韩国流行、,动感、可爱、快乐、KTV、,韩语,,
멍청이,Stellar、,电子、,动感、KTV、,韩语,84,
Be My Baby,Wonder Girls、,流行-韩国流行、,动感、活力、,韩语,82,
벚꽃이 피면,Busters、,流行-流行舞曲、,动感、可爱、快乐、,韩语,114,
RUN,H1-KEY、,流行-韩国流行、,动感、可爱、快乐、活力、,韩语,98,
야광별,宇宙少女、,流行-韩国流行、,可爱、快乐、放松、,韩语,65,
거울앞에서,GLAM、,流行-韩国流行、,可爱、快乐、放松、,韩语,,
Can't Nobody,2NE1、,流行-韩国流行、,热血、动感、快乐、,韩语,130,
Dangerous,f(x)、,流行-韩国流行、,热血、动感、活力、KTV、,韩语,129,
Would U,Red Velvet、,流行-韩国流行、,清新、幸福、快乐、放松、,韩语,93,
네게로(路),DIA、,流行-韩国流行、,可爱、快乐、放松、,韩语,90,
Villain,少女时代、,电子、,热血、动感、活力、,韩语,89,
너 때문에 미쳐 (Remix Version),T-ara、,流行-韩国流行、,动感、活力、,韩语,67,
Remember Forever,Red Velvet、,流行-韩国流行、,抒情、动感、悲伤、爱情、思念、浪漫、放松、,韩语,75,
Dear Rose,OH MY GIRL、,流行-韩国流行、,动感、活力、,韩语,130,
Mr. Boogie,f(x)、,流行-韩国流行、,动感、活力、,韩语,125,
Too Good To Me,EXID、,流行-韩国流行、,动感、活力、,韩语,134,
눈부셨던 날,DIA、,流行、,抒情、动感、悲伤、,韩语,142,
I'll Make You Cry,aespa、,电子、,动感、活力、,韩语,82,
별아,UNI.T、,流行、,抒情、KTV、,韩语,,
Loca,TRI.BE、,流行-韩国流行、,热血、动感、活力、,韩语,77,
이쁜걸,Flashe、,流行-流行舞曲、,动感、可爱、快乐、,韩语,136,
I'm OK,4MINUTE、,流行-韩国流行、,可爱、快乐、放松、,韩语,92,
어떻게지내,EXID、,流行-韩国流行、,动感、活力、舞蹈、,韩语,114,
뿅 (BByong),SATURDAY、,流行-韩国流行、,动感、可爱、快乐、活力、舞蹈、,韩语,129,
OOMM (Out of My Mind),3YE、,流行-韩国流行、,动感、活力、,韩语,75,
STAY TOGETHER,TRI.BE、,流行-韩国流行、,动感、活力、,韩语,95,
I'm in Love,公园少女、,原声带、,幸福、快乐、放松、,韩语,,
톡,Flashe、,流行-韩国流行、,动感、可爱、快乐、,韩语,,
Shut Up,DREAMCATCHER、,流行-韩国流行、,动感、活力、,韩语,91,
Dancing Queen 2.0,Crayon Pop、,流行、,动感、活力、,韩语,132,
Stay With Me Babe,本月少女、本月少女 ODD EYE CIRCLE、,流行-韩国流行、,动感、放松、,韩语,71,
Q,LIGHTSUM、,流行-韩国流行、,动感、快乐、活力、,韩语、英语,117,
거울아 거울아,4MINUTE、,流行、,快乐、动感、活力、,韩语,128,
STAY WITH ME,3YE、,流行-韩国流行、,动感、活力、,韩语,,
e i e i o,公园少女、,流行-韩国流行、,动感、活力、,韩语,115,
Saturday Night,Crayon Pop、,流行、,动感、活力、,韩语,136,
Day By Day,CLC、,流行、,快乐、可爱、放松、,韩语,,
