歌名,歌手,曲风,推荐标签,语种,BPM,乐评
远星,汪闻婷、,流行-华语流行、,抒情、悲伤、爱情、浪漫、苦情、孤独、,国语,58,
街灯,糖糖YuzeTang、,流行-华语流行、,,粤语,125,
宿命,泽典、,国风、流行、,KTV、抒情、悲伤、思念、,国语,63,
入酒,Pig小优、,国风-国风流行、,抒情、悲伤、KTV、,国语,70,
世面,周林、,流行-华语流行、,抒情、放松、KTV、,国语,69,
荧光海,尹昔眠、,流行-华语流行、,抒情、幸福、悲伤、快乐、,国语,72,
唱尽恩仇,尹昔眠、,国风-国风流行、流行、,抒情、悲伤、KTV、,国语,84,
人间旅行者,咻咻满、,流行-华语流行、,抒情、放松、,国语,69,
你是路过的风,邓阿九、,流行-华语流行、,愤怒、KTV、,国语,85,
特别对待,云汐、,流行、,抒情、悲伤、放松、治愈、KTV、,国语,65,
错过,KeyKey、,流行-华语流行、,抒情、悲伤、爱情、苦情、放松、,国语,64,
雨下,戾格、小田音乐社、,流行-华语流行、,抒情、悲伤、遗憾、,国语,70,
离人赋,云汐、,国风-国风电子、,动感、活力、快乐、思念、抒情、爱情、,国语,80,
月华落,尹昔眠、,国风-国风流行、流行、,,国语,72,
迷彩,田子晴、,流行-华语流行、,洒脱、,国语,69,
夜雨晚风,芝麻Mochi、,流行-华语流行、,抒情、,国语,61,
余生太短,池鱼、,流行-华语流行、,抒情、放松、KTV、,国语,80,
流光曲,尹昔眠、,流行-华语流行、,抒情、可爱、快乐、,国语,89,
极光,任舒瞳、,流行-华语流行、,甜蜜、抒情、爱情、,国语,69,
与你有关,程墨寒、,流行-华语流行、,抒情、悲伤、孤独、,国语,65,
Half My Life,Low D、,电子、,抒情、悲伤、,国语,61,
属于你 (女版),覆予、,流行-华语流行、,抒情、悲伤、KTV、,国语,66,
梵高先生,吴大文、,流行-华语流行、,抒情、悲伤、爱情、慵懒、放松、遗憾、,国语,96,
感受孤独,杨胖雨、,流行-华语流行、,抒情、悲伤、孤独、,国语,58,
灰色幽默,Jazzy、王唯一（九姨太）、,流行-华语流行、,动感、放松、,国语,95,
访客记录,赵曼伊mï、小田音乐社、,流行-华语流行、,抒情、幸福、悲伤、快乐、KTV、,国语,63,
黑名单,Jessie 伊、,流行、,悲伤、抒情、,国语,58,
枕上情诗,尹昔眠、,流行-华语流行、,KTV、,国语,60,
无人生还,银临、鬼卞、,流行-华语流行、,抒情、动感、,国语,96,
银河洒满星星,邓阿九、,流行-华语流行、,慵懒、放松、,国语,85,
青云羡,泽典、,国风-国风流行、流行、,抒情、悲伤、治愈、放松、,国语,71,
离人赋 (治愈版),泽典、,流行-华语流行、,抒情、动感、可爱、快乐、思念、放松、憧憬、治愈、,国语,80,
我们不再是我们,张德伊玲、,流行-华语流行、,抒情、悲伤、孤独、KTV、,国语,68,
月下逢,泽典、,国风-古风、流行、,抒情、KTV、,国语,71,
好一点 (don't emo),小蓝背心、,流行-华语流行、,快乐、,国语,119,
偶尔也有风,吴炳文、,流行-华语流行、,抒情、动感、悲伤、快乐、爱情、浪漫、酒吧、家务、,国语,76,她有种茫茫无依的感觉，像在黄昏时分出海，路不熟，又远。
山海入梦来,邹秋实、,流行、,抒情、动感、悲伤、爱情、思念、放松、KTV、,国语,67,
自命,叶里、,国风-国风流行、,抒情、快乐、KTV、,国语,75,
南巢,御鹿神谷、江苹果、,国风-国风流行、,抒情、悲伤、孤独、,国语,73,
孤城雨,泽典、王贺Ares、,国风、,抒情、悲伤、思念、KTV、,国语,72,
爱上你,陆杰awr、,流行-华语流行、,抒情、悲伤、爱情、思念、浪漫、酒吧、,国语,120,
找,汪川、,流行-华语流行、,可爱、快乐、放松、,华语,86,从声线、配器到氛围都极度舒展的作品，表达出对新鲜空气和自由状态的寻找，氛围慵懒随心，思绪天马行空，精神却明确不移。在这个内卷出花的时代，这样的寻找更添几分理想主义的浪漫色彩，让人对自由格外心驰神往。
落伤,三叔说、,国风-国风流行、,抒情、悲伤、思念、,国语,75,
雨中的世界,Zkaaai、,流行-华语流行、,抒情、悲伤、爱情、苦情、,国语,55,
雨伞,张德伊玲、,流行-华语流行、,抒情、悲伤、孤独、KTV、,国语,63,
入梦来,邹秋实、,国风、,动感、放松、,国语,62,
半夜汽笛,叶琼琳、,流行-华语流行、,,国语,124,
落日微风,张德伊玲、,流行-华语流行、,甜蜜、抒情、清新、幸福、快乐、爱情、放松、KTV、轻快、,国语,65,
星空与海,苏星婕、,流行-华语流行、,抒情、爱情、慵懒、浪漫、放松、,国语,66,
彩虹滤镜,孟令童、,流行-华语流行、,抒情、,国语,63,
故里逢春,阿YueYue、,国风-国风流行、,抒情、悲伤、爱情、思念、苦情、KTV、,国语,85,
快乐不再,金渔、,流行-华语流行、,抒情、悲伤、KTV、,国语,71,
明目张胆,不蓝、,流行-华语流行、,抒情、悲伤、爱情、放松、治愈、,国语,77,
代替品,王唯一（九姨太）、,流行-华语流行、,抒情、悲伤、,国语,67,
他比我好吧,王理文、,流行-华语流行、,抒情、悲伤、思念、KTV、,国语,142,
我走后,小咪、,流行-华语流行、,抒情、悲伤、,国语,120,
"这一刻,奔赴你",尹昔眠、,流行-华语流行、,抒情、动感、悲伤、思念、放松、,国语,109,
当我是玫瑰时,洛伊Kloe、,流行-华语流行、,可爱、快乐、放松、愤怒、,国语,92,
孤影,简弘亦、,流行-华语流行、,抒情、悲伤、,国语,68,
将你还于人海,程响、,流行-华语流行、,抒情、放松、,国语,65,
天后,陈势安、,流行-华语流行、,抒情、,国语,79,
谁,王贰浪、,流行-华语流行、,抒情、悲伤、平静、抑郁、快乐、爱情、思念、慵懒、浪漫、苦情、放松、憧憬、孤独、KTV、遗憾、感人、,国语,74,
海底,一支榴莲、,流行-华语流行、,抒情、紧张、悲伤、抑郁、爱情、思念、苦情、放松、治愈、孤独、遗憾、,国语,108,
故事还长,云汐、,流行-华语流行、,抒情、悲伤、孤独、,国语,79,
惊鸿一面,许嵩、黄龄、,国风-国风流行、,抒情、悲伤、爱情、思念、放松、,国语,108,
梦随风万里,尹昔眠、小田音乐社、,国风-国风流行、,抒情、悲伤、放松、治愈、KTV、,国语,103,
泠然,崔天琪、,流行-华语流行、,抒情、悲伤、思念、KTV、,国语,60,
当你走向我,尹昔眠、,流行-华语流行、,抒情、悲伤、,国语,109,
失色天空,王理文、,流行-华语流行、,抒情、悲伤、,国语,55,
放任荒凉,任然、,流行-华语流行、,悲伤、KTV、,国语,132,
提拉米苏,新乐尘符、李思雨、,流行-华语流行、,甜蜜、抒情、动感、快乐、爱情、思念、活力、酒吧、,国语,98,
心许百年,王天戈、,流行-华语流行、,抒情、悲伤、思念、苦情、放松、孤独、洒脱、遗憾、,国语,65,
你听不到我,王唯一（九姨太）、,流行-华语流行、,抒情、悲伤、,国语,69,
云底人间,程响、,流行-华语流行、,清新、快乐、放松、,国语,77,
泡沫,G.E.M.邓紫棋、,流行-华语流行、,抒情、,国语,68,
晚风吹过落日海,小蓝背心、,流行-华语流行、,动感、可爱、快乐、放松、,国语,139,
你是我的星辰,枯木逢春、,流行-华语流行、民谣-流行民谣、,抒情、悲伤、思念、,国语,65,
一个人想着一个人,如懿、,流行-华语流行、,抒情、悲伤、抑郁、爱情、思念、苦情、孤独、酒吧、遗憾、,国语,68,
困在回忆里,火西肆、,流行-华语流行、,抒情、KTV、,国语,89,
