歌名,歌手,曲风,推荐标签,语种,BPM,乐评
The Chain,Fleetwood Mac、,摇滚-另类摇滚、原声带-电影原声、,动感、放松、KTV、,英语,75,
Act Like You Know,Fat Larry's Band、,原声带-游戏原声、电子-浩室舞曲、,动感、活力、,英语,104,
Don't Stop 'Til You Get Enough,Michael Jackson、,节奏布鲁斯-放克、,动感、活力、,英语,120,
Rapper's Delight,The Sugarhill Gang、,嘻哈说唱、,抒情、动感、快乐、活力、,英语,111,
Circle In The Sand,Belinda Carlisle、,流行-成⼈时代、,动感、活力、,英语,,
Southern Nights,Glen Campbell、,乡村-乡村流行、,热血、动感、快乐、爱情、浪漫、放松、,英语,95,
"Living in America (From ""Rocky IV"" Soundtrack)",James Brown、,原声带-电影原声、节奏布鲁斯-灵魂乐、节奏布鲁斯-放克、,热血、动感、活力、KTV、,英语,113,
Nothing's Gonna Stop Us Now,Starship、,电子-合成器流行、,热血、动感、幸福、快乐、爱情、浪漫、活力、KTV、旅游、,英语,96,
Poor Little Girl,George Harrison、,摇滚、,动感、放松、KTV、,英语,,
Think,The Blues Brothers、Aretha Franklin、,摇滚-蓝调摇滚、,热血、动感、快乐、,英语,,
Joey,Concrete Blonde、,摇滚-另类摇滚、,热血、抒情、动感、悲伤、思念、苦情、活力、孤独、遗憾、,英语,118,
On My Mind,Skytone、,电子-合成器流行、,爱情、浪漫、,英语,124,
Seven Wonders,Fleetwood Mac、,原声带-电视剧原声、,KTV、放松、,英语,,
DISCO,Ottawan、,电子-迪斯科、,动感、快乐、爱情、浪漫、,英语,122,
Percent,Laura Vane、,节奏布鲁斯-放克、,动感、快乐、,英语,116,
Let's Groove,"Earth, Wind & Fire、",节奏布鲁斯-放克、,动感、活力、,英语,125,
Ooh Baby,Craig Ruhnke、,流行-城市流行、,梦幻、爱情、浪漫、放松、,英语,111,
Bahama Mama,Boney M.、,流行-流行舞曲、,动感、快乐、活力、,英语,132,
A Night to Remember,Mary J. Blige、,原声带-电影原声、节奏布鲁斯-放克、,动感、爱情、浪漫、活力、,英语,108,
Just The Two Of Us,Bill Withers、,节奏布鲁斯-灵魂乐、,动感、爱情、浪漫、活力、婚礼、,英语,96,
Runnin' Down A Dream,Tom Petty、,摇滚-经典摇滚、,热血、抒情、动感、活力、放松、KTV、正直、洒脱、正能量、,英语,84,
Gotta Go Home,Boney M.、,流行、,可爱、快乐、,英语,131,
I Wouldn't Change A Thing,Coke Escovedo、,节奏布鲁斯、,动感、快乐、爱情、浪漫、咖啡厅、,英语,,
